# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 198K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 297537541
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
    13.29%  java             [JIT] tid 699559    [.] void java.util.stream.AbstractPipeline.copyInto(java.util.stream.Sink, java.util.Spliterator)
     4.32%  G1 Conc#2        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.26%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.19%  G1 Conc#4        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.14%  G1 Conc#3        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.08%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     3.30%  G1 Conc#2        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     3.01%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     2.90%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     2.86%  G1 Conc#4        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     2.68%  java             libjvm.so           [.] JVM_LatestUserDefinedLoader
     2.54%  G1 Conc#3        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.90%  java             [JIT] tid 699559    [.] java.util.stream.Sink java.util.stream.AbstractPipeline.wrapAndCopyInto(java.util.stream.Sink, java.util.Spliterator)
     0.74%  VM Thread        libjvm.so           [.] G1RegionMarkStatsCache::evict_all
     0.70%  java             [JIT] tid 699559    [.] java.lang.Object java.rmi.server.RemoteObjectInvocationHandler.invoke(java.lang.Object, java.lang.reflect.Method, java.lang.Object[])
     0.66%  G1 Conc#2        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.63%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.63%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.60%  java             [JIT] tid 699559    [.] java.io.ObjectOutput sun.rmi.transport.StreamRemoteCall.getOutputStream(boolean)
     0.58%  G1 Conc#3        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.55%  G1 Conc#4        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.49%  java             [JIT] tid 699559    [.] void framework.pim.BatchDispatcher$DPUExecutionTask.run()
     0.49%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     0.47%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.45%  java             [JIT] tid 699559    [.] void framework.pim.logger.Logger.log(java.lang.String)
     0.44%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     0.38%  java             [JIT] tid 699559    [.] java.io.ObjectInput sun.rmi.transport.StreamRemoteCall.getInputStream()
     0.37%  G1 Conc#2        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.37%  G1 Conc#3        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.36%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.35%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.34%  java             [JIT] tid 699559    [.] Interpreter
     0.34%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.34%  java             libjvm.so           [.] StringTable::do_lookup
     0.33%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.32%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     0.32%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.31%  G1 Conc#3        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.31%  java             [JIT] tid 699559    [.] java.io.ObjectStreamClass$FieldReflector java.io.ObjectStreamClass.getReflector(java.io.ObjectStreamField[], java.io.ObjectStreamClass)
     0.31%  java             ld-2.31.so          [.] __tls_get_addr
     0.30%  G1 Conc#2        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.30%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.29%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.29%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.29%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.29%  GC Thread#8      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.28%  java             [unknown]           [k] 0xffffffff86e90553
     0.28%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.27%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.27%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.27%  G1 Conc#2        libjvm.so           [.] G1CMTask::do_marking_step
     0.26%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.25%  java             [JIT] tid 699559    [.] java.lang.Object sun.rmi.server.UnicastRef.invoke(java.rmi.Remote, java.lang.reflect.Method, java.lang.Object[], long)
     0.25%  GC Thread#14     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.24%  G1 Conc#4        libjvm.so           [.] G1CMTask::do_marking_step
     0.24%  GC Thread#15     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.24%  GC Thread#9      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.23%  GC Thread#11     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.23%  java             [JIT] tid 699559    [.] StubRoutines (2)
     0.23%  java             [JIT] tid 699559    [.] framework.pim.dpu.cache.DPUMethodLookupTableItem simulator.DPULookupTableManagerSimulator.getMethodLookupTableItem(java.lang.String, java.lang.String)
     0.23%  java             [JIT] tid 699559    [.] int sun.nio.ch.Net.poll(java.io.FileDescriptor, int, long)
     0.23%  GC Thread#10     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.22%  GC Thread#13     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.22%  java             libjvm.so           [.] Dictionary::find
     0.22%  GC Thread#12     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.22%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.21%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.21%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.21%  java             [unknown]           [k] 0xffffffff8729628e
     0.21%  java             [JIT] tid 699559    [.] java.lang.Object java.util.WeakHashMap.get(java.lang.Object)
     0.21%  java             [JIT] tid 699559    [.] java.io.ObjectStreamClass java.io.ObjectStreamClass.lookup(java.lang.Class, boolean)
     0.20%  G1 Conc#0        libjvm.so           [.] G1CMTask::do_marking_step
     0.20%  G1 Conc#1        libjvm.so           [.] G1CMTask::do_marking_step
     0.20%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     0.18%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.18%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.18%  G1 Conc#3        libjvm.so           [.] G1CMTask::do_marking_step
     0.18%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     0.17%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.17%  java             [JIT] tid 699559    [.] void java.io.ObjectStreamClass.initNonProxy(java.io.ObjectStreamClass, java.lang.Class, java.lang.ClassNotFoundException, java.io.ObjectStreamClass)
     0.17%  java             [JIT] tid 699559    [.] void java.io.ObjectInputStream.readSerialData(java.lang.Object, java.io.ObjectStreamClass)
