# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'LLC-load-misses'
# Event count (approx.): 10246170
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                    
# ........  ...............  ..................  ..........................................................................................................................................................................................
#
     5.74%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     5.67%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     5.45%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     4.74%  java             [JIT] tid 671867    [.] Interpreter
     2.66%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     2.45%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     2.27%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     2.14%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     1.80%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     1.70%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     1.30%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::re_insert
     1.21%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     1.16%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     1.09%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     1.06%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     1.01%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.99%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.79%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     0.76%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.75%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.73%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.70%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.64%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.62%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.61%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.60%  java             [unknown]           [k] 0xffffffffafe9628e
     0.57%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.50%  C2 CompilerThre  libjvm.so           [.] CProjNode::is_block_proj
     0.49%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Select
     0.47%  C1 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.46%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::transform_old
     0.44%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.44%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.43%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::update_ifg
     0.42%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.40%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.37%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::insert_copies
     0.37%  java             [JIT] tid 671867    [.] java.io.ObjectOutput sun.rmi.transport.StreamRemoteCall.getOutputStream(boolean)
     0.36%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.36%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.35%  C2 CompilerThre  libjvm.so           [.] RegionNode::is_unreachable_from_root
     0.34%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::BuildOopMaps
     0.34%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.32%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_tree
     0.31%  C1 CompilerThre  libjvm.so           [.] LinearScan::eliminate_spill_moves
     0.31%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_lock
     0.30%  C2 CompilerThre  libjvm.so           [.] Type::cmp
     0.29%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.28%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.28%  C2 CompilerThre  libjvm.so           [.] RegMask::is_misaligned_pair
     0.27%  C2 CompilerThre  libjvm.so           [.] Node::replace_by
     0.27%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::split_if_with_blocks
     0.27%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.27%  C2 CompilerThre  libjvm.so           [.] jmpDirNode::is_block_proj
     0.26%  C2 CompilerThre  libjvm.so           [.] MachNode::rematerialize
     0.26%  java             libjvm.so           [.] RelocIterator::initialize
     0.25%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.23%  C1 CompilerThre  libjvm.so           [.] LinearScan::build_intervals
     0.23%  java             [unknown]           [k] 0xffffffffafe96097
     0.23%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.23%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Simplify
     0.22%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_early
     0.22%  C1 CompilerThre  libjvm.so           [.] LinearScan::sort_intervals_before_allocation
     0.22%  C2 CompilerThre  libjvm.so           [.] Node::remove_dead_region
     0.21%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.21%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.21%  C2 CompilerThre  libjvm.so           [.] Dict::Insert
     0.20%  C1 CompilerThre  libjvm.so           [.] BitMap::set_difference
     0.20%  C2 CompilerThre  libjvm.so           [.] MachNode::ideal_reg
     0.20%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::fill_buffer
     0.20%  C2 CompilerThre  libjvm.so           [.] PhasePeephole::do_transform
     0.19%  C1 CompilerThre  libjvm.so           [.] LinearScan::resolve_exception_handlers
     0.19%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.18%  C2 CompilerThre  libjvm.so           [.] Compile::final_graph_reshaping_walk
     0.18%  C2 CompilerThre  libjvm.so           [.] NTarjan::DFS
     0.18%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.17%  C1 CompilerThre  libjvm.so           [.] BitMap::set_union
     0.17%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.17%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_local
     0.17%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.16%  C2 CompilerThre  libjvm.so           [.] OopFlow::compute_reach
     0.16%  java             [unknown]           [k] 0xffffffffb058c2fb
     0.16%  C2 CompilerThre  libjvm.so           [.] memcpy@plt
     0.16%  C2 CompilerThre  libjvm.so           [.] MachNode::oper_input_base
     0.16%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::raise_pressure
     0.16%  C1 CompilerThre  [JIT] tid 671867    [.] flush_icache_stub
     0.15%  C1 CompilerThre  libjvm.so           [.] Dictionary::find
     0.15%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late_post_work
     0.15%  C2 CompilerThre  libjvm.so           [.] Node::rematerialize
     0.14%  C2 CompilerThre  libjvm.so           [.] RegMask::is_UP
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::coalesce
     0.14%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_unlock
     0.14%  C1 CompilerThre  libjvm.so           [.] Klass::subklass
     0.14%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.14%  C1 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_lock
     0.14%  C2 CompilerThre  libjvm.so           [.] __tls_get_addr@plt
     0.13%  java             libjvm.so           [.] ConstantPool::klass_at_impl
     0.13%  C2 CompilerThre  libjvm.so           [.] MachProjNode::bottom_type
     0.13%  java             [unknown]           [k] 0xffffffffb0384c21
     0.13%  C1 CompilerThre  libjvm.so           [.] Klass::next_sibling
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::Dominators
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::add_users_to_worklist
     0.12%  C2 CompilerThre  libjvm.so           [.] DependencyContext::add_dependent_nmethod
     0.12%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.12%  java             [JIT] tid 671867    [.] I2C/C2I adapters
     0.12%  C2 CompilerThre  libjvm.so           [.] Compile::remove_speculative_types
     0.12%  C2 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.11%  C2 CompilerThre  libjvm.so           [.] Block::is_Empty
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseCCP::analyze
     0.11%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.11%  C2 CompilerThre  libc-2.31.so        [.] _int_malloc
     0.11%  C2 CompilerThre  libjvm.so           [.] TypeNode::hash
     0.10%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::remove_node_if_not_used
     0.10%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.10%  java             [unknown]           [k] 0xffffffffafe32827
     0.10%  C2 CompilerThre  libc-2.31.so        [.] __memset_avx2_unaligned_erms
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::subsume_node
     0.10%  C2 CompilerThre  [unknown]           [k] 0xffffffffafdcce4b
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::shorten_branches
     0.10%  C2 CompilerThre  libjvm.so           [.] Node::set_req_X
     0.10%  RMI Scheduler(0  [JIT] tid 671867    [.] Interpreter
     0.10%  C2 CompilerThre  libjvm.so           [.] RegMask::clear_to_sets
     0.10%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::get_field_by_offset
     0.10%  C2 CompilerThre  libjvm.so           [.] Chunk::next_chop
     0.10%  C1 CompilerThre  libjvm.so           [.] NullCheckEliminator::iterate_one
     0.10%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.09%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::insert_proj
     0.09%  C2 CompilerThre  libjvm.so           [.] RegMask::is_bound
     0.09%  C2 CompilerThre  libjvm.so           [.] MachCallJavaNode::in_RegMask
     0.09%  C2 CompilerThre  libjvm.so           [.] Matcher::Label_Root
     0.09%  C2 CompilerThre  libjvm.so           [.] Node::dominates
     0.09%  java             libjvm.so           [.] nmethod::is_zombie
     0.09%  C1 CompilerThre  libjvm.so           [.] resource_allocate_bytes
     0.09%  C2 CompilerThre  libjvm.so           [.] CallStaticJavaDirectNode::oper_input_base
     0.09%  C2 CompilerThre  libjvm.so           [.] Matcher::ReduceInst_Interior
     0.09%  C1 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.09%  C2 CompilerThre  libjvm.so           [.] JVMState::interpreter_frame_size
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::copy_copy
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::test_edge_sq
     0.08%  C2 CompilerThre  libjvm.so           [.] Node::clone
     0.08%  java             [unknown]           [k] 0xffffffffc1422c31
     0.08%  C1 CompilerThre  libjvm.so           [.] BitMap::set_from
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::stretch_base_pointer_live_ranges
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.08%  C2 CompilerThre  libjvm.so           [.] Dictionary::find
     0.08%  C2 CompilerThre  libjvm.so           [.] NodeHash::grow
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.08%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_end
     0.08%  C1 CompilerThre  libjvm.so           [.] LinearScan::number_instructions
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::build_cfg
     0.08%  java             [unknown]           [k] 0xffffffffafaacc12
     0.08%  C1 CompilerThre  libjvm.so           [.] LinearScanWalker::find_optimal_split_pos
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.07%  C2 CompilerThre  libjvm.so           [.] Node_Backward_Iterator::next
     0.07%  C2 CompilerThre  libjvm.so           [.] SymbolTable::lookup_shared
     0.07%  C2 CompilerThre  libjvm.so           [.] State::MachOperGenerator
     0.07%  java             libjvm.so           [.] StringTable::do_lookup
     0.07%  C1 CompilerThre  libjvm.so           [.] LinearScan::resolve_data_flow
     0.07%  C1 CompilerThre  libjvm.so           [.] LinearScan::resolve_collect_mappings
     0.07%  C2 CompilerThre  libc-2.31.so        [.] _int_free
     0.07%  C2 CompilerThre  libjvm.so           [.] PhiNode::unique_input
     0.07%  C2 CompilerThre  libjvm.so           [.] TypeNode::bottom_type
     0.07%  C1 CompilerThre  libjvm.so           [.] IntervalWalker::walk_to
     0.07%  C2 CompilerThre  libjvm.so           [.] RegMask::is_vector
     0.07%  C2 CompilerThre  libjvm.so           [.] RegMask::Size
     0.07%  C2 CompilerThre  libjvm.so           [.] Node::is_CFG
     0.07%  C2 CompilerThre  libjvm.so           [.] IndexSet::lrg_union
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::call_catch_cleanup
     0.07%  C1 CompilerThre  libjvm.so           [.] SymbolTable::lookup_shared
     0.07%  C1 CompilerThre  libjvm.so           [.] CodeEmitInfo::interpreter_frame_size
     0.07%  C2 CompilerThre  libjvm.so           [.] RegionNode::Ideal
     0.07%  C2 CompilerThre  libjvm.so           [.] Arena::contains
     0.06%  java             libjvm.so           [.] java_lang_Throwable::fill_in_stack_trace
     0.06%  C1 CompilerThre  libjvm.so           [.] ValueStack::total_locks_size
     0.06%  C1 CompilerThre  libjvm.so           [.] LinearScan::compute_global_live_sets
     0.06%  GC Thread#1      libjvm.so           [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<397382ul, G1BarrierSet>, (AccessInternal::BarrierType)3, 397382ul>::oop_access_barrier
     0.06%  C1 CompilerThre  [unknown]           [k] 0xffffffffafa916df
     0.06%  java             libjvm.so           [.] ClassFileParser::parse_constant_pool_entries
     0.06%  C2 CompilerThre  libjvm.so           [.] Matcher::match_sfpt
     0.06%  C2 CompilerThre  libjvm.so           [.] ChunkPool::allocate
     0.06%  C2 CompilerThre  libjvm.so           [.] Node::out_grow
     0.06%  C1 CompilerThre  libjvm.so           [.] AbstractAssembler::bind
     0.06%  C1 CompilerThre  libjvm.so           [.] LinearScan::interval_cmp
     0.06%  C2 CompilerThre  libjvm.so           [.] MachNode::peephole
     0.06%  C2 CompilerThre  libjvm.so           [.] Node::Node
     0.06%  C2 CompilerThre  [unknown]           [k] 0xffffffffb058c347
     0.06%  java             [JIT] tid 671867    [.] int java.lang.invoke.MemberName.flagsMods(int, int, byte)
     0.06%  GC Thread#7      [unknown]           [k] 0xffffffffaf98c105
     0.06%  C2 CompilerThre  libjvm.so           [.] Compile::find_alias_type
     0.06%  C1 CompilerThre  libjvm.so           [.] LinearScan::compute_local_live_sets
     0.06%  C2 CompilerThre  libjvm.so           [.] ciEnv::get_klass_by_index_impl
     0.06%  GC Thread#4      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::fixup_flow
     0.06%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove
     0.06%  C2 CompilerThre  libjvm.so           [.] Node::add_req
     0.06%  C2 CompilerThre  libjvm.so           [.] Dict::Dict
     0.06%  C2 CompilerThre  libjvm.so           [.] ciBaseObject::ident
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.05%  java             libjvm.so           [.] CodeHeap::block_start
     0.05%  C1 CompilerThre  libjvm.so           [.] PhiSimplifier::block_do
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::union_helper
     0.05%  C1 CompilerThre  libjvm.so           [.] SymbolTable::do_lookup
     0.05%  C1 CompilerThre  libjvm.so           [.] LinearScan::sort_intervals_after_allocation
