# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'LLC-load-misses'
# Event count (approx.): 11683312
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                    
# ........  ...............  ..................  ..........................................................................................................................................................................................
#
     0.18%  C2 CompilerThre  libjvm.so           [.] OopFlow::compute_reach
     0.18%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.18%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.17%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.17%  C1 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.16%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.16%  C2 CompilerThre  libjvm.so           [.] Matcher::Label_Root
     0.16%  C2 CompilerThre  libjvm.so           [.] MachNode::oper_input_base
     0.15%  C2 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.15%  C2 CompilerThre  libjvm.so           [.] NTarjan::DFS
     0.15%  C2 CompilerThre  libjvm.so           [.] RegionNode::is_unreachable_from_root
     0.15%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::Dominators
     0.15%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.15%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.14%  C2 CompilerThre  libjvm.so           [.] Node_Backward_Iterator::next
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::coalesce
     0.14%  C2 CompilerThre  libjvm.so           [.] Block::has_uncommon_code
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::shorten_branches
     0.14%  C2 CompilerThre  libjvm.so           [.] MachSpillCopyNode::implementation
     0.14%  java             libjvm.so           [.] Method::external_name
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::add_users_to_worklist
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::FillExceptionTables
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.12%  C2 CompilerThre  libjvm.so           [.] jmpDirNode::is_block_proj
     0.12%  java             [unknown]           [k] 0xffffffffb0384c21
     0.12%  C2 CompilerThre  libjvm.so           [.] ChunkPool::allocate
     0.12%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::get_field_by_offset
     0.12%  C1 CompilerThre  libjvm.so           [.] ValueStack::values_do
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseCCP::analyze
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::test_edge_sq
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.11%  java             [unknown]           [k] 0xffffffffafaacc12
