# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 45359598
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
    28.43%  java             [JIT] tid 687336    [.] void java.util.stream.AbstractPipeline.copyInto(java.util.stream.Sink, java.util.Spliterator)
    16.26%  java             [JIT] tid 687336    [.] void java.util.Spliterators$ArraySpliterator.forEachRemaining(java.util.function.Consumer)
     4.54%  G1 Conc#2        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.43%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.24%  G1 Conc#3        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.23%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.19%  G1 Conc#4        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.42%  java             [JIT] tid 687336    [.] void application.transplant.pimtree.pim_skip_list.get()
     1.40%  G1 Conc#3        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     1.33%  java             [JIT] tid 687336    [.] Interpreter
     1.10%  G1 Conc#4        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.92%  java             [JIT] tid 687336    [.] void application.transplant.pimtree.PIMTreeCore.generateData(int)
     0.78%  java             [JIT] tid 687336    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     0.77%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.71%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.60%  G1 Conc#2        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.47%  java             [unknown]           [k] 0xffffffff86f1969d
     0.37%  java             [JIT] tid 687336    [.] boolean application.transplant.pimtree.PIMTreeCore.load_one_batch(java.util.List, int)
     0.30%  java             [JIT] tid 687336    [.] application.transplant.pimtree.pptr application.transplant.pimtree.PIMExecutorComputationContext.p_get(int)
     0.29%  G1 Conc#4        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.28%  java             [JIT] tid 687336    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     0.28%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.27%  GC Thread#12     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.27%  java             [unknown]           [k] 0xffffffff8729628e
     0.26%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.26%  GC Thread#17     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.25%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.24%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.22%  G1 Conc#3        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.22%  GC Thread#11     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.20%  G1 Conc#4        libjvm.so           [.] G1CMTask::do_marking_step
     0.19%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.19%  GC Thread#8      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.18%  java             libc-2.31.so        [.] __memset_avx2_erms
     0.18%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.17%  G1 Conc#2        libjvm.so           [.] G1CMTask::do_marking_step
     0.17%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.17%  GC Thread#16     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.16%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.16%  G1 Conc#2        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.16%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.15%  GC Thread#14     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.15%  GC Thread#13     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.14%  java             [unknown]           [k] 0xffffffff87296097
     0.14%  G1 Conc#2        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.14%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.13%  GC Thread#15     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.13%  G1 Conc#3        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.13%  G1 Conc#3        libjvm.so           [.] G1CMTask::do_marking_step
     0.13%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.12%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.12%  java             [JIT] tid 687336    [.] void framework.pim.BatchDispatcher.dispatchAll()
     0.12%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.12%  G1 Conc#1        libjvm.so           [.] G1CMTask::do_marking_step
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     0.11%  GC Thread#9      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.11%  java             [JIT] tid 687336    [.] void application.transplant.pimtree.PIMTreeCore.get(java.util.List, java.util.concurrent.locks.Lock, int)
     0.11%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.10%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.10%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.10%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.10%  GC Thread#10     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.10%  VM Thread        libjvm.so           [.] G1RegionMarkStatsCache::evict_all
     0.09%  G1 Conc#0        libjvm.so           [.] G1CMTask::do_marking_step
