# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 160K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 428871948
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
     0.14%  G1 Refine#1      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.14%  GC Thread#0      libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.13%  java             [JIT] tid 698005    [.] application.transplant.pimtree.pptr application.transplant.pimtree.PIMExecutorComputationContext.p_get(int)
     0.12%  java             [JIT] tid 698005    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     0.11%  G1 Refine#5      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.09%  VM Thread        libjvm.so           [.] G1RegionMarkStatsCache::evict_all
     0.09%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.09%  java             libc-2.31.so        [.] __memset_avx2_erms
     0.09%  G1 Conc#2        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.09%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.09%  java             [JIT] tid 698005    [.] java.util.List application.transplant.pimtree.frontend_by_generation.init_tasks()
     0.09%  GC Thread#14     libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.08%  GC Thread#13     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.08%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.08%  java             [JIT] tid 698005    [.] void framework.pim.BatchDispatcher.dispatchAll()
     0.08%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.07%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.07%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.07%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.07%  GC Thread#6      libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.07%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.07%  G1 Conc#3        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.07%  GC Thread#17     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.07%  G1 Refine#2      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.07%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.06%  java             [JIT] tid 698005    [.] void application.transplant.pimtree.PIMTreeCore.get(java.util.List, java.util.concurrent.locks.Lock, int)
     0.06%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.06%  java             [unknown]           [k] 0xffffffff8729628e
     0.06%  G1 Conc#2        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.06%  GC Thread#12     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.06%  G1 Refine#6      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.06%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.06%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.06%  GC Thread#9      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.06%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.06%  G1 Conc#3        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.05%  G1 Refine#0      libjvm.so           [.] G1HotCardCache::insert
     0.05%  GC Thread#16     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.05%  G1 Conc#3        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.05%  GC Thread#8      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.05%  GC Thread#15     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.05%  java             [JIT] tid 698005    [.] StubRoutines (2)
     0.04%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.04%  G1 Refine#0      libjvm.so           [.] G1CardCounts::add_card_count
     0.04%  java             libjvm.so           [.] BufferNode::Allocator::allocate
     0.04%  G1 Conc#4        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.04%  G1 Conc#2        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.04%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.04%  G1 Conc#3        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.04%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.04%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.04%  GC Thread#14     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.04%  java             [unknown]           [k] 0xffffffff86e96678
     0.04%  java             [JIT] tid 698005    [.] void java.text.DecimalFormatSymbols.initialize(java.util.Locale)
     0.04%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.04%  java             [JIT] tid 698005    [.] vtable chunks
     0.03%  G1 Refine#5      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.03%  java             [JIT] tid 698005    [.] void application.transplant.pimtree.PIMTreeCore.run_batch(application.transplant.pimtree.operation_t, java.util.concurrent.locks.Lock, int)
     0.03%  G1 Service       [unknown]           [k] 0xffffffff86ef44c1
     0.03%  G1 Service       [unknown]           [k] 0xffffffff86f0c221
     0.03%  java             [JIT] tid 698005    [.] void application.transplant.pimtree.pim_skip_list.get_load(java.util.List)
     0.03%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.03%  java             [JIT] tid 698005    [.] void framework.pim.logger.Logger.logln(java.lang.String)
     0.03%  GC Thread#11     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.03%  G1 Refine#1      libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
     0.03%  G1 Conc#2        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.03%  GC Thread#10     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.03%  java             [JIT] tid 698005    [.] void framework.pim.logger.Logger.logStatic(int, java.lang.String, java.lang.String)
     0.03%  G1 Service       [unknown]           [k] 0xffffffff86f0c204
     0.02%  G1 Service       [unknown]           [k] 0xffffffff86f68369
     0.02%  java             [JIT] tid 698005    [.] void java.util.concurrent.ThreadPoolExecutor.<init>(int, int, long, java.util.concurrent.TimeUnit, java.util.concurrent.BlockingQueue, java.util.concurrent.ThreadFactory, java.util.concurrent.RejectedExecutionHandler)
     0.02%  java             [JIT] tid 698005    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     0.02%  java             [unknown]           [k] 0xffffffff87295bf7
     0.02%  G1 Conc#4        [unknown]           [k] 0xffffffff86e96678
     0.02%  G1 Service       [unknown]           [k] 0xffffffff86f263d9
     0.02%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.02%  G1 Conc#0        libjvm.so           [.] GenericTaskQueue<G1TaskQueueEntry, (MEMFLAGS)5, 131072u>::pop_local
     0.02%  java             [unknown]           [k] 0xffffffff86f19675
     0.02%  GC Thread#4      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceMirrorKlass, oopDesc*>
     0.02%  GC Thread#2      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  G1 Conc#0        [unknown]           [k] 0xffffffff86e96678
     0.02%  G1 Refine#0      libjvm.so           [.] G1DirtyCardQueueSet::refine_completed_buffer_concurrently
     0.02%  GC Thread#9      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  java             [JIT] tid 698005    [.] void java.util.concurrent.Executors$DefaultThreadFactory.<init>()
     0.02%  java             [unknown]           [k] 0xffffffff86f196aa
     0.02%  G1 Conc#2        libjvm.so           [.] GenericTaskQueue<G1TaskQueueEntry, (MEMFLAGS)5, 131072u>::pop_local
     0.02%  G1 Refine#0      libjvm.so           [.] G1CardCounts::is_hot
     0.02%  G1 Conc#4        libjvm.so           [.] GenericTaskQueue<G1TaskQueueEntry, (MEMFLAGS)5, 131072u>::pop_local
     0.02%  java             [JIT] tid 698005    [.] java.util.concurrent.ExecutorService java.util.concurrent.Executors.newCachedThreadPool()
     0.02%  G1 Service       [unknown]           [k] 0xffffffff86f264fc
     0.02%  java             [JIT] tid 698005    [.] java.lang.StringBuilder java.util.Formatter$FormatSpecifier.localizedMagnitude(java.lang.StringBuilder, java.lang.CharSequence, int, java.util.Formatter$Flags, int, java.util.Locale)
     0.02%  G1 Refine#3      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.02%  GC Thread#3      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.02%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.02%  G1 Refine#2      libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
