# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'LLC-load-misses'
# Event count (approx.): 12534571
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                
# ........  ...............  ..................  ......................................................................................................................................................................................................
#
     0.15%  C2 CompilerThre  libjvm.so           [.] Compile::remove_speculative_types
     0.15%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.14%  C2 CompilerThre  libjvm.so           [.] RegMask::Size
     0.14%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.14%  C2 CompilerThre  libjvm.so           [.] OopFlow::compute_reach
     0.14%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_lock
     0.14%  C2 CompilerThre  libjvm.so           [.] Node::clone
     0.14%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::Dominators
     0.14%  C1 CompilerThre  libjvm.so           [.] LinearScan::resolve_exception_handlers
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::subsume_node
     0.13%  C1 CompilerThre  libjvm.so           [.] LinearScan::sort_intervals_before_allocation
     0.13%  C2 CompilerThre  libjvm.so           [.] TypeNode::hash
     0.13%  C2 CompilerThre  libjvm.so           [.] Node::dominates
     0.13%  C2 CompilerThre  libjvm.so           [.] CallStaticJavaDirectNode::oper_input_base
     0.13%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.13%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::get_field_by_offset
     0.13%  C2 CompilerThre  libjvm.so           [.] Block::has_uncommon_code
     0.12%  C1 CompilerThre  libjvm.so           [.] NullCheckEliminator::iterate_one
     0.12%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.12%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.12%  C1 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
