# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'LLC-load-misses'
# Event count (approx.): 3667720
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                
# ........  ...............  ..................  ......................................................................................................................................................................................................
#
     0.16%  C2 CompilerThre  libjvm.so           [.] Dict::Insert
     0.16%  java             [JIT] tid 673007    [.] I2C/C2I adapters
     0.15%  C2 CompilerThre  libjvm.so           [.] Node::hash
     0.15%  C2 CompilerThre  libjvm.so           [.] Dictionary::find
     0.15%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_early
     0.15%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.14%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_local_field
     0.14%  C2 CompilerThre  libjvm.so           [.] SymbolTable::lookup_shared
     0.14%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.14%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_local_field
     0.14%  java             [unknown]           [k] 0xffffffffafe993fb
     0.13%  G1 Refine#5      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.13%  java             [unknown]           [k] 0xffffffffb036d9e0
     0.13%  C2 CompilerThre  libjvm.so           [.] RegMask::is_UP
     0.13%  java             [unknown]           [k] 0xffffffffc13f7480
     0.13%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.13%  C1 CompilerThre  [unknown]           [k] 0xffffffffafc3dd2e
     0.13%  java             [JIT] tid 673007    [.] g1_post_barrier_slow
     0.13%  C2 CompilerThre  [vdso]              [.] __vdso_clock_gettime
     0.12%  C2 CompilerThre  libjvm.so           [.] Node::add_req
     0.12%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.12%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.12%  C2 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.12%  java             [unknown]           [k] 0xffffffffb036d9f8
     0.12%  GC Thread#6      [unknown]           [k] 0xffffffffb0600b40
     0.12%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::ciInstanceKlass
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::coalesce
     0.12%  C1 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.12%  C2 CompilerThre  libjvm.so           [.] ciEnv::get_klass_by_index_impl
     0.12%  C2 CompilerThre  libc-2.31.so        [.] _int_malloc
     0.11%  C2 CompilerThre  libjvm.so           [.] salI_rReg_1Node::two_adr
     0.11%  java             libjvm.so           [.] java_lang_Throwable::fill_in_stack_trace
     0.11%  C2 CompilerThre  libjvm.so           [.] Block::has_uncommon_code
     0.11%  C1 CompilerThre  libjvm.so           [.] LinkResolver::lookup_method_in_klasses
     0.11%  java             [unknown]           [k] 0xffffffffafe9609a
     0.11%  GC Thread#3      [unknown]           [k] 0xffffffffafae8985
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.11%  C2 CompilerThre  libjvm.so           [.] State::MachOperGenerator
     0.11%  java             libjimage.so        [.] ImageLocation::set_data
     0.11%  C2 CompilerThre  [unknown]           [k] 0xffffffffafb69967
     0.10%  C2 CompilerThre  libjvm.so           [.] RegMask::is_bound
     0.10%  java             libc-2.31.so        [.] __strlen_avx2
     0.10%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     0.10%  C2 CompilerThre  libjvm.so           [.] Chunk::next_chop
     0.10%  java             [JIT] tid 673007    [.] I2C/C2I adapters
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::Process_OopMap_Node
     0.10%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.10%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.10%  C2 CompilerThre  libc-2.31.so        [.] malloc
     0.10%  java             [unknown]           [k] 0xffffffffb03aa74e
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.09%  java             [unknown]           [k] 0xffffffffafb4cec3
     0.09%  java             [unknown]           [k] 0xffffffffb058c2c0
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::move_to_end
     0.09%  C1 CompilerThre  libjvm.so           [.] ciMethodBlocks::do_analysis
     0.09%  C2 CompilerThre  libjvm.so           [.] CmpPNode::Ideal
     0.09%  java             [JIT] tid 673007    [.] void java.util.HashMap.<init>(int, float)
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::transform_old
     0.09%  java             [unknown]           [k] 0xffffffffaf95d280
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::optimize
     0.09%  C2 CompilerThre  libjvm.so           [.] Node::replace_by
     0.09%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.09%  GC Thread#3      libjvm.so           [.] JNIHandleBlock::oops_do
     0.09%  GC Thread#0      libjvm.so           [.] WeakProcessor::Task::work<G1STWIsAliveClosure, G1KeepAliveClosure>
     0.09%  java             libc-2.31.so        [.] __memcmp_avx2_movbe
     0.09%  java             [unknown]           [k] 0xffffffffc13f7280
     0.09%  C2 CompilerThre  libc-2.31.so        [.] _int_free
     0.09%  java             libjvm.so           [.] Method::external_name
     0.08%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     0.08%  C1 CompilerThre  libjvm.so           [.] MethodData::compute_data_size
     0.08%  java             libjvm.so           [.] AbstractInterpreter::method_kind
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::BuildOopMaps
     0.08%  C1 CompilerThre  libjvm.so           [.] Klass::next_sibling
     0.08%  C2 CompilerThre  libjvm.so           [.] __tls_get_addr@plt
     0.08%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_unlock
     0.08%  VM Periodic Tas  [unknown]           [k] 0xffffffffaf97460d
     0.08%  C2 CompilerThre  libjvm.so           [.] DependencyContext::add_dependent_nmethod
     0.08%  C2 CompilerThre  libjvm.so           [.] LinkResolver::lookup_method_in_klasses
     0.08%  C1 CompilerThre  libjvm.so           [.] Dictionary::find
     0.08%  C2 CompilerThre  libjvm.so           [.] CProjNode::is_block_proj
     0.08%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_symbol
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::shorten_branches
     0.08%  VM Thread        libc-2.31.so        [.] _int_malloc
     0.08%  Common-Cleaner   [JIT] tid 673007    [.] Interpreter
     0.07%  java             ld-2.31.so          [.] _dl_relocate_object
     0.07%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.07%  C2 CompilerThre  libjvm.so           [.] RegMask::Size
     0.07%  C2 CompilerThre  libjvm.so           [.] MachProjNode::ideal_reg
     0.07%  G1 Refine#1      libjvm.so           [.] oopDesc::size
     0.07%  C1 CompilerThre  libjvm.so           [.] StateSplit::as_StateSplit
     0.07%  C1 CompilerThre  [unknown]           [k] 0xffffffffaf939591
     0.07%  C2 CompilerThre  [unknown]           [k] 0xffffffffafb98975
     0.07%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.07%  C1 CompilerThre  libjvm.so           [.] ClassLoaderData::is_alive
     0.07%  GC Thread#3      [unknown]           [k] 0xffffffffafb263ef
     0.07%  C2 CompilerThre  libjvm.so           [.] OopFlow::compute_reach
     0.07%  C2 CompilerThre  libjvm.so           [.] ChunkPool::allocate
     0.07%  G1 Refine#5      [unknown]           [k] 0xffffffffafb1142b
     0.07%  java             [unknown]           [k] 0xffffffffafd9fae0
     0.07%  java             ld-2.31.so          [.] update_get_addr
     0.07%  java             libjvm.so           [.] SystemDictionaryShared::find_record
     0.07%  VM Thread        libjvm.so           [.] nmethod::oops_do_marking_epilogue
     0.07%  GC Thread#5      libjvm.so           [.] nmethod::oops_do_process_weak
     0.07%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::create_new_metadata
     0.07%  G1 Refine#7      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.07%  java             [unknown]           [k] 0xffffffffb0384dbe
     0.07%  G1 Refine#4      [unknown]           [k] 0xffffffffafb1133c
     0.07%  C2 CompilerThre  libjvm.so           [.] CodeBuffer::finalize_oop_references
     0.07%  GC Thread#5      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.07%  C2 CompilerThre  [unknown]           [k] 0xffffffffafaff0b8
     0.07%  C2 CompilerThre  libjvm.so           [.] Matcher::ReduceInst_Interior
     0.07%  java             [unknown]           [k] 0xffffffffc13f72cb
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseCCP::analyze
     0.07%  GC Thread#3      libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.07%  java             [unknown]           [k] 0xffffffffafac0218
     0.07%  C2 CompilerThre  libjvm.so           [.] LoadPNode::Opcode
     0.07%  java             [JIT] tid 673007    [.] java.lang.Object java.util.concurrent.ConcurrentHashMap.get(java.lang.Object)
     0.06%  java             [JIT] tid 673007    [.] I2C/C2I adapters
     0.06%  C1 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_unlock
     0.06%  C2 CompilerThre  libjvm.so           [.] Matcher::init_first_stack_mask
     0.06%  RMI RenewClean-  libjvm.so           [.] InstanceKlass::find_method_index
     0.06%  GC Thread#5      [unknown]           [k] 0xffffffffb0600b40
     0.06%  java             [JIT] tid 673007    [.] boolean java.lang.String.regionMatches(int, java.lang.String, int, int)
     0.06%  java             [unknown]           [k] 0xffffffffb0384dd0
     0.06%  java             [JIT] tid 673007    [.] I2C/C2I adapters
     0.06%  C1 CompilerThre  libc-2.31.so        [.] _IO_str_init_static_internal
     0.06%  C2 CompilerThre  libjvm.so           [.] LoadUSNode::Opcode
     0.06%  java             [unknown]           [k] 0xffffffffafe8b7c1
     0.06%  C2 CompilerThre  libjvm.so           [.] SymbolTable::do_lookup
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::coalesce
     0.06%  java             libjvm.so           [.] UNICODE::is_latin1
     0.06%  C1 CompilerThre  [unknown]           [k] 0xffffffffafb4e788
     0.06%  C1 CompilerThre  [unknown]           [k] 0xffffffffaf84d389
     0.06%  java             [unknown]           [k] 0xffffffffafe96295
     0.06%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.06%  java             libjvm.so           [.] JVM_LatestUserDefinedLoader
     0.06%  C2 CompilerThre  libjvm.so           [.] ciMethod::ciMethod
     0.06%  RMI Scheduler(0  libjvm.so           [.] InstanceKlass::find_method_index
     0.06%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.06%  C2 CompilerThre  libjvm.so           [.] ciMethod::has_compiled_code
     0.06%  java             [unknown]           [k] 0xffffffffb0384dfb
     0.06%  C2 CompilerThre  libjvm.so           [.] JVMState::same_calls_as
     0.06%  C2 CompilerThre  libjvm.so           [.] MachNode::bottom_type
     0.06%  java             libjvm.so           [.] ClassLoadingService::notify_class_loaded
     0.06%  java             [unknown]           [k] 0xffffffffb0600b40
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::split_USE
     0.06%  GC Thread#3      [unknown]           [k] 0xffffffffafb263d0
     0.06%  C1 CompilerThre  libjvm.so           [.] LinkResolver::resolve_interface_call_or_null
     0.06%  GC Thread#6      libjvm.so           [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceRefKlass, oopDesc*>
     0.06%  C2 CompilerThre  libjvm.so           [.] G1BarrierSetC2::escape_add_to_con_graph
     0.06%  C1 CompilerThre  libjvm.so           [.] ciInstanceKlass::ciInstanceKlass
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::insert_copies
     0.06%  java             libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.06%  C2 CompilerThre  libjvm.so           [.] Compile::find_alias_type
     0.06%  java             libjvm.so           [.] InstanceKlass::find_local_field
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::adjust_register_pressure
     0.06%  java             [JIT] tid 673007    [.] void java.util.AbstractList.<init>()
     0.06%  GC Thread#6      [unknown]           [k] 0xffffffffafb196bb
     0.06%  GC Thread#4      libc-2.31.so        [.] _int_free
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::copy_copy
     0.06%  java             [JIT] tid 673007    [.] java.lang.Object java.lang.invoke.MethodHandle.invokeBasic(java.lang.Object)
     0.06%  VM Thread        libjvm.so           [.] G1STWIsAliveClosure::do_object_b
     0.06%  C1 CompilerThre  libjvm.so           [.] Klass::is_klass
     0.06%  java             [unknown]           [k] 0xffffffffafe8c2fd
     0.05%  java             libjvm.so           [.] ConstantPool::klass_at_impl
     0.05%  GC Thread#3      [unknown]           [k] 0xffffffffafabe552
     0.05%  C1 CompilerThre  libjvm.so           [.] DependencyContext::add_dependent_nmethod
     0.05%  GC Thread#3      [unknown]           [k] 0xffffffffafb0c221
     0.05%  C2 CompilerThre  libjvm.so           [.] LinkResolver::resolve_static_call
     0.05%  GC Thread#0      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.05%  java             [unknown]           [k] 0xffffffffc13f72bb
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::call_catch_cleanup
     0.05%  C1 CompilerThre  libjvm.so           [.] ValueStack::values_do
     0.05%  GC Thread#3      [unknown]           [k] 0xffffffffafb1712b
     0.05%  GC Thread#3      [unknown]           [k] 0xffffffffb0384923
     0.05%  java             libjvm.so           [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<282694ul, G1BarrierSet>, (AccessInternal::BarrierType)3, 282694ul>::oop_access_barrier
     0.05%  java             libjvm.so           [.] AdapterHandlerLibrary::get_simple_adapter
     0.05%  C1 CompilerThre  libjvm.so           [.] LIR_OpVisitState::append
     0.05%  java             [unknown]           [k] 0xffffffffc13f7879
     0.05%  GC Thread#0      libjvm.so           [.] G1ParScanThreadState::copy_to_survivor_space
     0.05%  C2 CompilerThre  libjvm.so           [.] ciBaseObject::ident
     0.05%  G1 Refine#6      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.05%  java             [unknown]           [k] 0xffffffffc1420000
     0.05%  java             libjvm.so           [.] LinkResolver::resolve_method
     0.05%  C2 CompilerThre  libjvm.so           [.] Matcher::match_sfpt
     0.05%  C1 CompilerThre  libjvm.so           [.] LinearScan::sort_intervals_before_allocation
     0.05%  C1 CompilerThre  libjvm.so           [.] internal_word_Relocation::fix_relocation_after_move
     0.05%  java             ld-2.31.so          [.] _dl_update_slotinfo
     0.05%  GC Thread#3      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.05%  java             [unknown]           [k] 0xffffffffafb4e6a0
     0.05%  java             [JIT] tid 673007    [.] java.net.InetAddress[] java.net.InetAddress$CachedAddresses.get()
     0.05%  C2 CompilerThre  libjvm.so           [.] Block::code_alignment
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::skip_copies
     0.05%  C1 CompilerThre  libc-2.31.so        [.] _IO_padn
     0.05%  C1 CompilerThre  [unknown]           [k] 0xffffffffaf9ab559
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::split_if_with_blocks
     0.05%  java             [unknown]           [k] 0xffffffffc1422c14
     0.05%  C2 CompilerThre  [unknown]           [k] 0xffffffffafe8cf00
     0.05%  C2 CompilerThre  libjvm.so           [.] CompilationPolicy::select_task
     0.05%  java             [unknown]           [k] 0xffffffffafb4e859
     0.05%  C2 CompilerThre  libjvm.so           [.] MachSpillCopyNode::implementation
     0.05%  C2 CompilerThre  libc-2.31.so        [.] __memset_avx2_unaligned_erms
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::is_dominator
     0.05%  java             [unknown]           [k] 0xffffffffafb19675
     0.05%  C2 CompilerThre  libjvm.so           [.] MachNode::rematerialize
     0.05%  GC Thread#3      [unknown]           [k] 0xffffffffafb50d7f
     0.05%  java             [unknown]           [k] 0xffffffffafe923b6
     0.05%  C2 CompilerThre  libjvm.so           [.] Compile::Init
     0.05%  GC Thread#3      [unknown]           [k] 0xffffffffc13ff01b
     0.05%  GC Thread#3      [unknown]           [k] 0xffffffffafb263f6
     0.05%  C1 CompilerThre  libjvm.so           [.] BitMap::set_difference
     0.05%  java             libjvm.so           [.] frame::sender
     0.05%  C2 CompilerThre  libjvm.so           [.] AddPNode::bottom_type
     0.05%  C1 CompilerThre  [unknown]           [k] 0xffffffffafb699a9
     0.05%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_late
     0.05%  java             [unknown]           [k] 0xffffffffc1421676
     0.05%  C2 CompilerThre  libjvm.so           [.] AddPNode::Identity
     0.05%  C2 CompilerThre  libjvm.so           [.] IndexSet::lrg_union
     0.04%  C2 CompilerThre  [unknown]           [k] 0xffffffffafe8875e
     0.04%  C2 CompilerThre  libjvm.so           [.] PhaseGVN::transform_no_reclaim
     0.04%  C2 CompilerThre  libjvm.so           [.] ciField::will_link
