# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'LLC-load-misses'
# Event count (approx.): 22264920
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
     0.14%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.14%  G1 Conc#0        libjvm.so           [.] G1CMTask::process_grey_task_entry<true>
     0.14%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.14%  java             [JIT] tid 673471    [.] int application.transplant.pimtree.pim_skip_list.hh(java.lang.Long, int, int)
     0.13%  G1 Conc#0        libjvm.so           [.] G1CMTask::do_marking_step
     0.12%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.12%  G1 Refine#7      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.12%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.12%  G1 Refine#6      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.11%  G1 Conc#1        libjvm.so           [.] G1CMTask::do_marking_step
     0.11%  java             [unknown]           [k] 0xffffffffafe96097
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     0.10%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.09%  G1 Conc#1        libjvm.so           [.] G1CMTask::process_grey_task_entry<true>
     0.09%  java             [JIT] tid 673471    [.] java.lang.String java.lang.Long.toString(long)
     0.09%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.09%  C1 CompilerThre  [JIT] tid 673471    [.] flush_icache_stub
     0.09%  java             [JIT] tid 673471    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     0.09%  G1 Conc#1        libjvm.so           [.] G1CMTask::drain_global_stack
     0.09%  G1 Conc#0        libjvm.so           [.] G1CMTask::drain_global_stack
     0.09%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.08%  GC Thread#2      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.08%  java             [JIT] tid 673471    [.] void application.transplant.pimtree.PIMTreeCore.get(java.util.List, java.util.concurrent.locks.Lock, int)
     0.08%  java             [JIT] tid 673471    [.] vtable chunks
     0.08%  java             [JIT] tid 673471    [.] I2C/C2I adapters
     0.08%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.08%  G1 Conc#1        libjvm.so           [.] GenericTaskQueue<G1TaskQueueEntry, (MEMFLAGS)5, 131072u>::pop_local
     0.08%  java             [JIT] tid 673471    [.] java.lang.Object java.util.ArrayList.get(int)
     0.08%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     0.08%  java             [unknown]           [k] 0xffffffffb0600b40
     0.07%  G1 Service       [unknown]           [k] 0xffffffffafb263d9
     0.07%  java             [JIT] tid 673471    [.] g1_post_barrier_slow
     0.07%  C1 CompilerThre  libjvm.so           [.] LoadIndexed::visit
     0.07%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceMirrorKlass, oopDesc*>
     0.07%  java             [JIT] tid 673471    [.] java.lang.Object application.transplant.pimtree.PIMExecutorComputationContext$$Lambda$76/0x0000000800c1a3c0.apply(java.lang.Object, java.lang.Object)
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.07%  java             [JIT] tid 673471    [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     0.07%  java             [JIT] tid 673471    [.] java.lang.String java.io.BufferedReader.readLine()
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     0.06%  C1 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.06%  GC Thread#5      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.06%  C2 CompilerThre  libjvm.so           [.] CompilationPolicy::can_be_compiled
     0.06%  GC Thread#7      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.06%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
