# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 71595221
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
     0.16%  GC Thread#13     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.16%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.16%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     0.16%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.15%  java             [JIT] tid 682727    [.] boolean application.transplant.pimtree.PIMTreeCore.load_one_batch(java.util.List, int)
     0.15%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.15%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.15%  GC Thread#17     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.14%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.14%  GC Thread#14     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.14%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.13%  C2 CompilerThre  libjvm.so           [.] CProjNode::is_block_proj
     0.13%  GC Thread#10     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.13%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.13%  C2 CompilerThre  libjvm.so           [.] Node::replace_by
     0.13%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.13%  C2 CompilerThre  libjvm.so           [.] PhasePeephole::do_transform
     0.12%  G1 Conc#3        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.12%  C2 CompilerThre  libjvm.so           [.] __tls_get_addr@plt
     0.12%  G1 Conc#4        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.12%  C1 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.12%  java             libc-2.31.so        [.] __memset_avx2_erms
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Simplify
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_local
     0.11%  C2 CompilerThre  libjvm.so           [.] RegMask::is_misaligned_pair
     0.11%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.11%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.10%  java             [unknown]           [k] 0xffffffff86f1969d
     0.10%  C2 CompilerThre  libjvm.so           [.] IndexSet::lrg_union
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::fill_buffer
     0.10%  java             [JIT] tid 682727    [.] void application.transplant.pimtree.PIMTreeCore.get(java.util.List, java.util.concurrent.locks.Lock, int)
     0.10%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.10%  C2 CompilerThre  libjvm.so           [.] Type::cmp
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::insert_copies
     0.09%  G1 Conc#2        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
