# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'LLC-load-misses'
# Event count (approx.): 101896851
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
    34.60%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
    13.58%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
    13.51%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.72%  G1 Refine#1      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     3.62%  java             [JIT] tid 671641    [.] void application.transplant.pimtree.pim_skip_list.get()
     2.67%  G1 Refine#2      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.47%  G1 Refine#3      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.36%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     1.31%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.79%  java             [JIT] tid 671641    [.] boolean application.transplant.pimtree.PIMTreeCore.load_one_batch(java.util.List, int)
     0.77%  java             [JIT] tid 671641    [.] java.util.stream.Sink java.util.stream.AbstractPipeline.wrapAndCopyInto(java.util.stream.Sink, java.util.Spliterator)
     0.75%  G1 Refine#0      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.71%  G1 Refine#5      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.70%  G1 Refine#4      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.68%  java             [JIT] tid 671641    [.] void java.util.Spliterators$ArraySpliterator.forEachRemaining(java.util.function.Consumer)
     0.67%  java             [JIT] tid 671641    [.] Interpreter
     0.62%  java             libc-2.31.so        [.] __memset_avx2_erms
     0.58%  java             [JIT] tid 671641    [.] void application.transplant.pimtree.PIMTreeCore.generateData(int)
     0.51%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.44%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.41%  G1 Refine#6      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.38%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.37%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.37%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.33%  java             libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.27%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.27%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.26%  G1 Refine#7      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.23%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.23%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.22%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.20%  java             [JIT] tid 671641    [.] void application.transplant.pimtree.PIMTreeCore.get(java.util.List, java.util.concurrent.locks.Lock, int)
     0.18%  java             [JIT] tid 671641    [.] void java.util.stream.AbstractPipeline.copyInto(java.util.stream.Sink, java.util.Spliterator)
     0.18%  java             [JIT] tid 671641    [.] java.util.List application.transplant.pimtree.frontend_by_generation.init_tasks()
     0.17%  java             [JIT] tid 671641    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     0.14%  java             [JIT] tid 671641    [.] void framework.pim.BatchDispatcher.dispatchAll()
     0.14%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.14%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.14%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.13%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.12%  java             [JIT] tid 671641    [.] application.transplant.pimtree.pptr application.transplant.pimtree.PIMExecutorComputationContext.p_get(int)
     0.12%  G1 Refine#0      libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
     0.12%  G1 Refine#0      libjvm.so           [.] G1RemSet::clean_card_before_refine
     0.11%  java             [JIT] tid 671641    [.] void application.transplant.pimtree.PIMTreeCore.run_batch(application.transplant.pimtree.operation_t, java.util.concurrent.locks.Lock, int)
     0.11%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.11%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.09%  java             [JIT] tid 671641    [.] void java.util.concurrent.ThreadPoolExecutor.<init>(int, int, long, java.util.concurrent.TimeUnit, java.util.concurrent.BlockingQueue, java.util.concurrent.ThreadFactory, java.util.concurrent.RejectedExecutionHandler)
     0.09%  java             [unknown]           [k] 0xffffffffafe9628e
     0.09%  G1 Refine#0      libjvm.so           [.] G1HotCardCache::insert
     0.09%  java             libjvm.so           [.] BufferNode::Allocator::allocate
     0.08%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.08%  G1 Refine#1      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.07%  java             [unknown]           [k] 0xffffffffafb1969d
     0.07%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.07%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.07%  G1 Conc#0        libjvm.so           [.] G1CMTask::do_marking_step
     0.07%  RMI Scheduler(0  [JIT] tid 671641    [.] Interpreter
     0.06%  G1 Conc#1        libjvm.so           [.] G1CMTask::do_marking_step
     0.06%  java             [JIT] tid 671641    [.] void application.transplant.pimtree.pim_skip_list.get_load(java.util.List)
     0.06%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.06%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.06%  java             [JIT] tid 671641    [.] void java.util.concurrent.Executors$DefaultThreadFactory.<init>()
     0.06%  GC Thread#7      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
