# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 346K of event 'LLC-load-misses'
# Event count (approx.): 126119960
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
    17.63%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
    17.40%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.98%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.85%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.82%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.79%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.79%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.75%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     1.75%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.74%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.68%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.67%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     1.51%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     1.40%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     1.32%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     1.29%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
