# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44K of event 'LLC-load-misses'
# Event count (approx.): 27656189
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
     0.20%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.19%  VM Thread        libjvm.so           [.] ClassLoaderDataGraph::clear_claimed_marks
     0.18%  C2 CompilerThre  libjvm.so           [.] RegMask::is_misaligned_pair
     0.18%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.18%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Select
     0.17%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.17%  G1 Conc#1        libjvm.so           [.] G1CMTask::drain_global_stack
     0.17%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_local
     0.17%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.17%  G1 Conc#0        libjvm.so           [.] G1CMTask::drain_global_stack
     0.17%  C2 CompilerThre  libjvm.so           [.] Dict::Insert
     0.16%  java             [JIT] tid 673230    [.] vtable chunks
     0.16%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_tree
     0.16%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::BuildOopMaps
     0.15%  GC Thread#3      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.15%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::insert_copies
     0.15%  GC Thread#1      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.15%  GC Thread#0      libjvm.so           [.] nmethod::oops_do
     0.15%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.15%  GC Thread#5      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.15%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.14%  C2 CompilerThre  libjvm.so           [.] Node::replace_by
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::split_if_with_blocks
     0.14%  C1 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.14%  GC Thread#6      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.13%  GC Thread#7      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.13%  GC Thread#2      libjvm.so           [.] CodeHeap::next_used
     0.13%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.13%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.13%  C2 CompilerThre  libjvm.so           [.] PhasePeephole::do_transform
     0.13%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.13%  GC Thread#2      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.12%  C1 CompilerThre  libjvm.so           [.] LinearScan::eliminate_spill_moves
     0.12%  java             libjvm.so           [.] JVM_LatestUserDefinedLoader
     0.12%  GC Thread#4      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.12%  GC Thread#7      libjvm.so           [.] CodeHeap::next_used
     0.12%  GC Thread#5      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.12%  C2 CompilerThre  libjvm.so           [.] Type::cmp
     0.12%  C1 CompilerThre  [JIT] tid 673230    [.] flush_icache_stub
     0.12%  C2 CompilerThre  libjvm.so           [.] Block::has_uncommon_code
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_early
     0.11%  GC Thread#6      libjvm.so           [.] CodeHeap::next_used
     0.11%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.11%  GC Thread#3      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.11%  GC Thread#1      libjvm.so           [.] CodeHeap::next_used
     0.11%  GC Thread#4      libjvm.so           [.] CodeHeap::next_used
     0.11%  C2 CompilerThre  libc-2.31.so        [.] _int_malloc
     0.11%  GC Thread#0      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.10%  GC Thread#2      libjvm.so           [.] nmethod::oops_do
     0.10%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_lock
     0.10%  VM Thread        libjvm.so           [.] G1RegionMarkStatsCache::evict_all
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Simplify
     0.10%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_unlock
     0.10%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::get_field_by_offset
     0.10%  GC Thread#0      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.10%  C2 CompilerThre  libjvm.so           [.] NTarjan::DFS
     0.10%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.10%  GC Thread#6      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.10%  GC Thread#7      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::coalesce
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.09%  GC Thread#1      libjvm.so           [.] CompiledMethod::cleanup_inline_caches_impl
     0.09%  GC Thread#7      libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.09%  C2 CompilerThre  libjvm.so           [.] TypeNode::hash
     0.09%  java             [unknown]           [k] 0xffffffffafe96097
     0.09%  GC Thread#3      libjvm.so           [.] Assembler::locate_operand
     0.09%  C2 CompilerThre  libjvm.so           [.] Dictionary::find
     0.09%  C2 CompilerThre  libjvm.so           [.] RegMask::is_UP
     0.09%  C2 CompilerThre  libjvm.so           [.] Node::clone
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::add_users_to_worklist
     0.09%  GC Thread#7      libjvm.so           [.] nmethod::is_alive
     0.08%  GC Thread#5      libjvm.so           [.] CodeHeap::next_used
     0.08%  C2 CompilerThre  libjvm.so           [.] DependencyContext::add_dependent_nmethod
     0.08%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.08%  GC Thread#0      libjvm.so           [.] CodeHeap::next_used
     0.08%  C2 CompilerThre  libjvm.so           [.] __tls_get_addr@plt
     0.08%  java             [JIT] tid 673230    [.] I2C/C2I adapters
     0.08%  GC Thread#4      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.08%  GC Thread#3      libjvm.so           [.] CodeHeap::next_block
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late_post_work
     0.08%  C2 CompilerThre  libjvm.so           [.] Node::remove_dead_region
     0.08%  GC Thread#4      libjvm.so           [.] RelocIterator::initialize
     0.08%  GC Thread#6      libjvm.so           [.] Assembler::locate_operand
     0.08%  java             libjvm.so           [.] RelocIterator::initialize
     0.08%  C2 CompilerThre  libjvm.so           [.] RegionNode::is_unreachable_from_root
     0.08%  C1 CompilerThre  libjvm.so           [.] BitMap::set_union
     0.08%  GC Thread#6      libjvm.so           [.] nmethod::oops_do
     0.08%  GC Thread#4      libjvm.so           [.] nmethod::oops_do
     0.08%  GC Thread#7      libjvm.so           [.] ClassLoaderData::ChunkedHandleList::oops_do
     0.08%  C1 CompilerThre  libjvm.so           [.] BitMap::set_difference
     0.08%  C1 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.08%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::de_ssa
     0.08%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.08%  C2 CompilerThre  libjvm.so           [.] jmpDirNode::is_block_proj
     0.07%  VM Thread        libjvm.so           [.] ClassLoaderData::is_alive
     0.07%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.07%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.07%  C2 CompilerThre  [unknown]           [k] 0xffffffffafdcce4b
     0.07%  G1 Conc#1        libjvm.so           [.] G1ConcurrentMark::mark_in_next_bitmap
     0.07%  GC Thread#1      libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.07%  C2 CompilerThre  libjvm.so           [.] MachNode::rematerialize
     0.07%  G1 Main Marker   libjvm.so           [.] G1CMIsAliveClosure::do_object_b
     0.06%  GC Thread#1      libjvm.so           [.] nmethod::is_alive
     0.06%  GC Thread#2      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, true>::do_oop
     0.06%  C2 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.06%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.06%  C2 CompilerThre  libjvm.so           [.] Block::is_Empty
