# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 18231980
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                
# ........  ...............  ..................  ......................................................................................................................................................................................................
#
     0.17%  C2 CompilerThre  libjvm.so           [.] RegionNode::is_unreachable_from_root
     0.16%  C2 CompilerThre  libc-2.31.so        [.] memcpy@GLIBC_2.2.5
     0.16%  java             [unknown]           [k] 0xffffffffc17362cb
     0.16%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.16%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::Dominators
     0.16%  C2 CompilerThre  libjvm.so           [.] Node::remove_dead_region
     0.15%  GC Thread#9      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.15%  GC Thread#11     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.15%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.14%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::copy_copy
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::shorten_branches
     0.13%  C2 CompilerThre  libjvm.so           [.] ChunkPool::allocate
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.13%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.13%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.13%  C2 CompilerThre  [unknown]           [k] 0xffffffff86f1969d
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::build_cfg
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late_post_work
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::FillExceptionTables
     0.12%  C1 CompilerThre  libjvm.so           [.] LinearScan::resolve_exception_handlers
     0.12%  C2 CompilerThre  libjvm.so           [.] Node_Backward_Iterator::next
     0.12%  C1 CompilerThre  libjvm.so           [.] LinearScan::assign_reg_num
     0.12%  C2 CompilerThre  libjvm.so           [.] Block::has_uncommon_code
     0.12%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.12%  C1 CompilerThre  libjvm.so           [.] BitMap::is_same
     0.11%  C1 CompilerThre  libjvm.so           [.] LinearScan::build_intervals
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::raise_pressure
     0.11%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.11%  C2 CompilerThre  libjvm.so           [.] MachNode::rematerialize
     0.11%  C1 CompilerThre  [JIT] tid 693596    [.] flush_icache_stub
     0.11%  java             [unknown]           [k] 0xffffffff8798c2c0
     0.10%  C2 CompilerThre  libjvm.so           [.] jmpDirNode::is_block_proj
     0.10%  C2 CompilerThre  libjvm.so           [.] JVMState::interpreter_frame_size
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.10%  C1 CompilerThre  libjvm.so           [.] LinearScan::sort_intervals_before_allocation
     0.10%  C2 CompilerThre  libjvm.so           [.] Compile::final_graph_reshaping_walk
     0.10%  java             [unknown]           [k] 0xffffffff876d7e30
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::coalesce
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseCCP::analyze
     0.10%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.10%  C2 CompilerThre  libjvm.so           [.] rFlagsRegOper::type
     0.10%  java             [unknown]           [k] 0xffffffff876d7e10
     0.09%  C2 CompilerThre  libjvm.so           [.] ShouldNotReachHereNode::is_block_proj
     0.09%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.09%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.09%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::call_catch_cleanup
     0.09%  java             [unknown]           [k] 0xffffffff8776d9fb
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_node_into_block
     0.09%  C1 CompilerThre  libjvm.so           [.] LinearScan::add_use
     0.09%  C2 CompilerThre  [unknown]           [k] 0xffffffff86e96e51
     0.09%  C2 CompilerThre  [unknown]           [k] 0xffffffff86e916df
     0.08%  C2 CompilerThre  libjvm.so           [.] RegMask::is_vector
     0.08%  C1 CompilerThre  libjvm.so           [.] LinearScan::compute_local_live_sets
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::compute_initial_block_pressure
     0.08%  java             [JIT] tid 693596    [.] MethodHandles adapters
     0.08%  C2 CompilerThre  libc-2.31.so        [.] _int_malloc
     0.08%  java             [unknown]           [k] 0xffffffff86f1969d
     0.08%  C2 CompilerThre  libc-2.31.so        [.] _int_free
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::Process_OopMap_Node
     0.08%  GC Thread#5      [unknown]           [k] 0xffffffff86f68355
     0.08%  C2 CompilerThre  libjvm.so           [.] MachSpillCopyNode::implementation
     0.08%  java             [JIT] tid 693596    [.] java.io.ObjectInput sun.rmi.transport.StreamRemoteCall.getInputStream()
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::skip_copies
     0.08%  C2 CompilerThre  libjvm.so           [.] MachNode::Expand
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::remove_empty_blocks
     0.08%  java             libjvm.so           [.] ConstantPool::klass_at_impl
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::elide_copy
     0.07%  java             [unknown]           [k] 0xffffffff87784b04
     0.07%  C2 CompilerThre  libjvm.so           [.] Node::set_req_X
     0.07%  C1 CompilerThre  libjvm.so           [.] NullCheckEliminator::iterate_one
     0.07%  C2 CompilerThre  libjvm.so           [.] Node_Array::insert
     0.07%  C2 CompilerThre  libjvm.so           [.] MachNode::bottom_type
     0.07%  C2 CompilerThre  libjvm.so           [.] MachNode::oper_input_base
     0.07%  C1 CompilerThre  libjvm.so           [.] RangeCheckEliminator::set_process_block_flags
     0.07%  java             libjvm.so           [.] Method::external_name
     0.07%  java             [unknown]           [k] 0xffffffff86f4e09d
     0.07%  C1 CompilerThre  [unknown]           [k] 0xffffffff8718ca79
     0.07%  C2 CompilerThre  [unknown]           [k] 0xffffffff86e96678
     0.07%  GC Thread#5      [unknown]           [k] 0xffffffff86f263ef
     0.07%  VM Periodic Tas  [unknown]           [k] 0xffffffff86ef44d0
     0.07%  C2 CompilerThre  libjvm.so           [.] Klass::next_sibling
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::use_prior_register
     0.07%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.07%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_unlock
