# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 212K of event 'LLC-load-misses'
# Event count (approx.): 96685069
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
    13.73%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
    12.87%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     8.37%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.93%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.92%  G1 Refine#1      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.86%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.83%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.81%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.73%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.72%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.68%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.61%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.38%  java             [JIT] tid 671392    [.] java.io.ObjectOutput sun.rmi.transport.StreamRemoteCall.getOutputStream(boolean)
     1.28%  java             [JIT] tid 671392    [.] void java.util.Spliterators$ArraySpliterator.forEachRemaining(java.util.function.Consumer)
     1.22%  G1 Refine#2      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.94%  java             [JIT] tid 671392    [.] Interpreter
     0.92%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.89%  G1 Refine#3      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.89%  java             [JIT] tid 671392    [.] boolean application.transplant.pimtree.PIMTreeCore.load_one_batch(java.util.List, int)
     0.89%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.89%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.86%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.85%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.79%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     0.73%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     0.72%  java             libc-2.31.so        [.] __memset_avx2_erms
     0.67%  G1 Refine#4      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.64%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.56%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.45%  java             [JIT] tid 671392    [.] void application.transplant.pimtree.PIMTreeCore.get(java.util.List, java.util.concurrent.locks.Lock, int)
     0.44%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     0.42%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.39%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.38%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.38%  G1 Refine#5      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.33%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     0.32%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     0.31%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.27%  G1 Refine#6      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.26%  java             libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
