# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 454K of event 'cache-references'
# Event count (approx.): 116173115
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
    39.27%  DPU_POLL_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     5.06%  java             perf-15043.map       [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     1.68%  java             perf-15043.map       [.] void pim.algorithm.TreeWriter.convertCPUTreeToPIMTree(pim.algorithm.TreeNode, int, int, int)
     1.16%  java             perf-15043.map       [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     1.01%  G1 Refine#0      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.89%  C2 CompilerThre  libjvm.so            [.] IndexSetIterator::advance_and_next
     0.85%  C2 CompilerThre  libjvm.so            [.] IndexSet::initialize
     0.71%  java             perf-15043.map       [.] void pim.algorithm.TreeWriter.convertCPUTreeToPIMTree(pim.algorithm.TreeNode, int, int, int)
     0.69%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.62%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Split
     0.58%  java             perf-15043.map       [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.58%  DPU_WORK_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.57%  java             perf-15043.map       [.] void pim.algorithm.TreeWriter.verifyLargePIMTree(pim.algorithm.TreeNode)
     0.56%  G1 Refine#1      libjvm.so            [.] OtherRegionsTable::add_reference
     0.55%  C2 CompilerThre  [kernel.kallsyms]    [k] perf_iterate_ctx
     0.52%  G1 Refine#1      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.52%  java             libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.51%  G1 Refine#0      libjvm.so            [.] OtherRegionsTable::add_reference
     0.50%  G1 Refine#2      libjvm.so            [.] OtherRegionsTable::add_reference
     0.50%  java             perf-15043.map       [.] Interpreter
     0.47%  C2 CompilerThre  libjvm.so            [.] PhaseLive::compute
     0.46%  G1 Refine#0      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.46%  G1 Refine#3      libjvm.so            [.] OtherRegionsTable::add_reference
     0.44%  G1 Refine#2      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.43%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_late
     0.42%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::Dominators
     0.40%  java             perf-15043.map       [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     0.38%  java             [kernel.kallsyms]    [k] copy_page
     0.37%  G1 Refine#0      libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.33%  G1 Refine#3      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.32%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.30%  G1 Refine#1      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.30%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::effective_degree
