            java 20419  4080.464033:       4010                                                        L1-dcache-stores:      7f1f054089ce int pim.algorithm.TreeNode.search(int)+0x1d2e (/tmp/perf-20418.map)
            java 20419  4080.475078:         42                                                        LLC-store-misses:      7f1f05406e5c int pim.algorithm.TreeNode.search(int)+0x1bc (/tmp/perf-20418.map)
            java 20419  4080.506276:         44                                                        LLC-store-misses:      7f1f05406e5c int pim.algorithm.TreeNode.search(int)+0x1bc (/tmp/perf-20418.map)
            java 20419  4080.541889:         36                                                        LLC-store-misses:      7f1f05408765 int pim.algorithm.TreeNode.search(int)+0x1ac5 (/tmp/perf-20418.map)
            java 20419  4080.573807:         42                                                        LLC-store-misses:      7f1f05406e67 int pim.algorithm.TreeNode.search(int)+0x1c7 (/tmp/perf-20418.map)
            java 20419  4080.616358:       3675                                                        L1-dcache-stores:      7f1f054086ff int pim.algorithm.TreeNode.search(int)+0x1a5f (/tmp/perf-20418.map)
            java 20419  4080.652467:         58                                                        LLC-store-misses:      7f1f0540938d int pim.algorithm.TreeNode.search(int)+0x26ed (/tmp/perf-20418.map)
            java 20419  4080.723850:         45                                                        LLC-store-misses:      7f1f05406e67 int pim.algorithm.TreeNode.search(int)+0x1c7 (/tmp/perf-20418.map)
            java 20419  4082.169393:         42                                                               LLC-loads:      7f1f054091bb int pim.algorithm.TreeNode.search(int)+0x251b (/tmp/perf-20418.map)
            java 20419  4082.275180:       3829                                                              mem-stores:      7f1f0540ab50 int pim.algorithm.TreeNode.search(int)+0x3eb0 (/tmp/perf-20418.map)
            java 20419  4082.309841:         29                                                        LLC-store-misses:      7f1f05406e5c int pim.algorithm.TreeNode.search(int)+0x1bc (/tmp/perf-20418.map)
            java 20419  4082.337573:       4099                                                        L1-dcache-stores:      7f1efe0cc5c0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2a0 (/tmp/perf-20418.map)
            java 20419  4082.371900:         27                                                        LLC-store-misses:      7f1f05409354 int pim.algorithm.TreeNode.search(int)+0x26b4 (/tmp/perf-20418.map)
            java 20419  4082.395385:         37                                                        LLC-store-misses:      7f1f05409373 int pim.algorithm.TreeNode.search(int)+0x26d3 (/tmp/perf-20418.map)
            java 20419  4082.413952:         29                                                        LLC-store-misses:      7f1f0540a2b1 int pim.algorithm.TreeNode.search(int)+0x3611 (/tmp/perf-20418.map)
            java 20419  4082.468354:       3907                                                        L1-dcache-stores:      7f1f0540ad38 int pim.algorithm.TreeNode.search(int)+0x4098 (/tmp/perf-20418.map)
            java 20419  4082.468354:         38                                                        LLC-store-misses:      7f1f0540ad38 int pim.algorithm.TreeNode.search(int)+0x4098 (/tmp/perf-20418.map)
