            java 13986  3026.073447:        428                                                               LLC-loads:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.073492:        428                                                               LLC-loads:      7f7efdf790f3 int pim.algorithm.TreeNode.search(int)+0x2f3 (/tmp/perf-13985.map)
            java 13986  3026.073496:      14102                                                              mem-stores:      7f7efdf793d4 int pim.algorithm.TreeNode.search(int)+0x5d4 (/tmp/perf-13985.map)
            java 13986  3026.073504:      12800                                                        L1-dcache-stores:      7f7efdf78e42 int pim.algorithm.TreeNode.search(int)+0x42 (/tmp/perf-13985.map)
            java 13986  3026.073542:        434                                                               LLC-loads:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.073558:      13665                                                              mem-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.073616:      12307                                                        L1-dcache-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.073645:        431                                                               LLC-loads:      7f7efdf78fea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-13985.map)
            java 13986  3026.073682:      12936                                                              mem-stores:      7f7efdf78ff6 int pim.algorithm.TreeNode.search(int)+0x1f6 (/tmp/perf-13985.map)
            java 13986  3026.073697:        430                                                               LLC-loads:      7f7efdf790e6 int pim.algorithm.TreeNode.search(int)+0x2e6 (/tmp/perf-13985.map)
            java 13986  3026.073730:      11880                                                        L1-dcache-stores:      7f7efdf78fc4 int pim.algorithm.TreeNode.search(int)+0x1c4 (/tmp/perf-13985.map)
            java 13986  3026.073745:      12600                                                              mem-stores:      7f7efdf78e67 int pim.algorithm.TreeNode.search(int)+0x67 (/tmp/perf-13985.map)
            java 13986  3026.073750:        428                                                               LLC-loads:      7f7efdf791a1 int pim.algorithm.TreeNode.search(int)+0x3a1 (/tmp/perf-13985.map)
            java 13986  3026.073788:      11685                                                        L1-dcache-stores:      7f7efdf78fe0 int pim.algorithm.TreeNode.search(int)+0x1e0 (/tmp/perf-13985.map)
            java 13986  3026.073803:        425                                                               LLC-loads:      7f7efdf79243 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-13985.map)
