            java  4812   457.314632:     139348                      cycles:      7f7bfdf7aaf5 int pim.algorithm.TreeNode.search(int)+0xf5 (/tmp/perf-4811.map)
            java  4812   457.314633:       1165                  bus-cycles:      7f7bfdf7abee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-4811.map)
            java  4812   457.314654:        372                cache-misses:      7f7bfdf7b080 int pim.algorithm.TreeNode.search(int)+0x680 (/tmp/perf-4811.map)
            java  4812   457.314682:       1166                  bus-cycles:      7f7bfdf7ab59 int pim.algorithm.TreeNode.search(int)+0x159 (/tmp/perf-4811.map)
            java  4812   457.314738:       1168                  bus-cycles:      7f7bfdf7abf6 int pim.algorithm.TreeNode.search(int)+0x1f6 (/tmp/perf-4811.map)
            java  4812   457.314746:        353                cache-misses:      7f7bfdf7abee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-4811.map)
            java  4812   457.314784:     137620                      cycles:      7f7bfdf7abea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4811.map)
            java  4812   457.314786:       1150                  bus-cycles:      7f7bfdf7ae43 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-4811.map)
            java  4812   457.314792:        546                   LLC-loads:      7f7bfdf7ac16 int pim.algorithm.TreeNode.search(int)+0x216 (/tmp/perf-4811.map)
            java  4812   457.314857:        529                   LLC-loads:      7f7bfdf7abc6 int pim.algorithm.TreeNode.search(int)+0x1c6 (/tmp/perf-4811.map)
            java  4812   457.314895:        321                cache-misses:      7f7bfdf7ab19 int pim.algorithm.TreeNode.search(int)+0x119 (/tmp/perf-4811.map)
            java  4812   457.314922:        514                   LLC-loads:      7f7bfdf7abea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4811.map)
            java  4812   457.314928:     138212                      cycles:      7f7bfdf7af42 int pim.algorithm.TreeNode.search(int)+0x542 (/tmp/perf-4811.map)
            java  4812   457.314931:       1155                  bus-cycles:      7f7bfdf7b129 int pim.algorithm.TreeNode.search(int)+0x729 (/tmp/perf-4811.map)
            java  4812   457.314965:        308                cache-misses:      7f7bfdf7af32 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4811.map)
            java  4812   457.314976:     138252                      cycles:      7f7bfdf7ae43 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-4811.map)
            java  4812   457.314980:       1156                  bus-cycles:      7f7bfdf7ae43 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-4811.map)
            java  4812   457.314983:        499                   LLC-loads:      7f7bfdf7abe0 int pim.algorithm.TreeNode.search(int)+0x1e0 (/tmp/perf-4811.map)
            java  4812   457.315024:     138635                      cycles:      7f7bfdf7af32 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4811.map)
            java  4812   457.315028:       1157                  bus-cycles:      7f7bfdf7af32 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4811.map)
            java  4812   457.315039:        298                cache-misses:      7f7bfdf7abea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4811.map)
            java  4812   457.315043:        488                   LLC-loads:      7f7bfdf7af32 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4811.map)
            java  4812   457.315073:     138834                      cycles:      7f7bfdf7af42 int pim.algorithm.TreeNode.search(int)+0x542 (/tmp/perf-4811.map)
            java  4812   457.315099:        478                   LLC-loads:      7f7bfdf7acf3 int pim.algorithm.TreeNode.search(int)+0x2f3 (/tmp/perf-4811.map)
            java  4812   457.315156:        471                   LLC-loads:      7f7bfdf7abea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4811.map)
            java  4812   457.315170:     138791                      cycles:      7f7bfdf7ae43 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-4811.map)
            java  4812   457.315174:       1160                  bus-cycles:      7f7bfdf7b080 int pim.algorithm.TreeNode.search(int)+0x680 (/tmp/perf-4811.map)
            java  4812   457.315179:        278                cache-misses:      7f7bfdf7ace6 int pim.algorithm.TreeNode.search(int)+0x2e6 (/tmp/perf-4811.map)
            java  4812   457.315213:        464                   LLC-loads:      7f7bfdf7ae40 int pim.algorithm.TreeNode.search(int)+0x440 (/tmp/perf-4811.map)
            java  4812   457.315219:     138996                      cycles:      7f7bfdf7abea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4811.map)
            java  4812   457.315222:       1161                  bus-cycles:      7f7bfdf7af32 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4811.map)
            java  4812   457.315240:        269                cache-misses:      7f7bfdf7afd9 int pim.algorithm.TreeNode.search(int)+0x5d9 (/tmp/perf-4811.map)
            java  4812   457.315267:     139009                      cycles:      7f7bfdf7b090 int pim.algorithm.TreeNode.search(int)+0x690 (/tmp/perf-4811.map)
            java  4812   457.315271:       1162                  bus-cycles:      7f7bfdf7b090 int pim.algorithm.TreeNode.search(int)+0x690 (/tmp/perf-4811.map)
            java  4812   457.315274:        457                   LLC-loads:      7f7bfdf7acf3 int pim.algorithm.TreeNode.search(int)+0x2f3 (/tmp/perf-4811.map)
            java  4812   457.315316:     139253                      cycles:      7f7bfdf7aa5a int pim.algorithm.TreeNode.search(int)+0x5a (/tmp/perf-4811.map)
            java  4812   457.315336:        447                   LLC-loads:      7f7bfdf7ab1d int pim.algorithm.TreeNode.search(int)+0x11d (/tmp/perf-4811.map)
