            java  3905 17107.439332:        345                                                         LLC-load-misses:      7f0e3938d5a6 int pim.algorithm.TreeNode.search(int)+0xe6 (/tmp/perf-3904.map)
            java  3905 17107.439384:        343                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.439434:        343                                                         LLC-load-misses:      7f0e3938d552 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-3904.map)
            java  3905 17107.439506:        345                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.439555:        334                                                         LLC-load-misses:      7f0e3938d58e int pim.algorithm.TreeNode.search(int)+0xce (/tmp/perf-3904.map)
            java  3905 17107.439605:        336                                                         LLC-load-misses:      7f0e3938d54d int pim.algorithm.TreeNode.search(int)+0x8d (/tmp/perf-3904.map)
            java  3905 17107.439654:        338                                                         LLC-load-misses:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.439707:        340                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.439759:        340                                                         LLC-load-misses:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.439815:        340                                                         LLC-load-misses:      7f0e3938d5c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-3904.map)
            java  3905 17107.439866:        337                                                         LLC-load-misses:      7f0e3938d533 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-3904.map)
            java  3905 17107.439917:        338                                                         LLC-load-misses:      7f0e3938d569 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-3904.map)
            java  3905 17107.439965:        339                                                         LLC-load-misses:      7f0e3938d58e int pim.algorithm.TreeNode.search(int)+0xce (/tmp/perf-3904.map)
            java  3905 17107.440015:        342                                                         LLC-load-misses:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.440067:        344                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.440118:        344                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.440174:        345                                                         LLC-load-misses:      7f0e3938d5ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-3904.map)
            java  3905 17107.440225:        343                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.440277:        343                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.440327:        343                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.440381:        344                                                         LLC-load-misses:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.440435:        343                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.440489:        343                                                         LLC-load-misses:      7f0e3938d533 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-3904.map)
            java  3905 17107.440540:        342                                                         LLC-load-misses:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.440594:        343                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.440648:        342                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.440698:        341                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.440752:        342                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.440804:        341                                                         LLC-load-misses:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.440851:        341                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.440904:        345                                                         LLC-load-misses:      7f0e3938d533 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-3904.map)
            java  3905 17107.440957:        345                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.441018:        345                                                         LLC-load-misses:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.441074:        339                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.441126:        337                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.441189:        337                                                         LLC-load-misses:      7f0e3938d533 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-3904.map)
            java  3905 17107.441245:        331                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.441300:        329                                                         LLC-load-misses:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.441302:        521                                                               LLC-loads:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.441349:        328                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.441356:        519                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.441400:        330                                                         LLC-load-misses:      7f0e3938d533 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-3904.map)
