# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'LLC-load-misses'
# Event count (approx.): 24616292
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ...............  ...................  .............................................................................................................................................................................
#
    53.05%  DPU_POLL_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     4.47%  java             perf-19084.map       [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     2.76%  C2 CompilerThre  libjvm.so            [.] IndexSetIterator::advance_and_next
     2.15%  java             perf-19084.map       [.] void pim.algorithm.TreeWriter.convertCPUTreeToPIMTree(pim.algorithm.TreeNode, int, int, int)
     1.42%  java             perf-19084.map       [.] void pim.algorithm.TreeWriter.verifyLargePIMTree(pim.algorithm.TreeNode)
     1.38%  java             libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     1.12%  java             perf-19084.map       [.] void pim.algorithm.TreeWriter.convertCPUTreeToPIMTree(pim.algorithm.TreeNode, int, int, int)
     1.01%  java             perf-19084.map       [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     0.92%  java             libjvm.so            [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501222ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501222ul>::oop_access_barrier<HeapWordImpl*>
     0.83%  java             perf-19084.map       [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.79%  G1 Refine#0      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.73%  java             perf-19084.map       [.] java.util.ArrayList pim.algorithm.BSTTester.readArrayList()
     0.68%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Split
     0.60%  java             perf-19084.map       [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.58%  DPU_WORK_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.50%  java             perf-19084.map       [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.48%  G1 Refine#0      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.45%  G1 Refine#2      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.45%  G1 Refine#1      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.42%  java             perf-19084.map       [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     0.40%  G1 Refine#1      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.39%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::SquareUp
