# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 425K of event 'LLC-load-misses'
# Event count (approx.): 71882401
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ...............  ...................  .............................................................................................................................................................................
#
     0.06%  G1 Refine#6      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.06%  G1 Refine#4      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.06%  C2 CompilerThre  libjvm.so            [.] IndexSet::initialize
     0.05%  GC Thread#4      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  G1 Refine#0      libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.05%  GC Thread#13     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  GC Thread#11     libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.05%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  GC Thread#10     libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.05%  GC Thread#21     libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.05%  GC Thread#18     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.05%  GC Thread#22     libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.05%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  GC Thread#9      [kernel.kallsyms]    [k] copy_page
     0.05%  GC Thread#8      [kernel.kallsyms]    [k] copy_page
     0.05%  java             libjvm.so            [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501222ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501222ul>::oop_access_barrier<HeapWordImpl*>
