            java  4156   414.432065:        278                cache-misses:      7f8745f7c5e0 int pim.algorithm.TreeNode.search(int)+0x1e0 (/tmp/perf-4155.map)
            java  4156   414.432081:    2000003     mem_load_retired.l1_hit:      7f8745f7cb29 int pim.algorithm.TreeNode.search(int)+0x729 (/tmp/perf-4155.map)
            java  4156   414.432105:        511            cache-references:      7f8745f7c616 int pim.algorithm.TreeNode.search(int)+0x216 (/tmp/perf-4155.map)
            java  4156   414.432124:        277                cache-misses:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432159:     140841                      cycles:      7f8745f7cb28 int pim.algorithm.TreeNode.search(int)+0x728 (/tmp/perf-4155.map)
            java  4156   414.432164:        503            cache-references:      7f8745f7c609 int pim.algorithm.TreeNode.search(int)+0x209 (/tmp/perf-4155.map)
            java  4156   414.432207:     141189                      cycles:      7f8745f7c7a1 int pim.algorithm.TreeNode.search(int)+0x3a1 (/tmp/perf-4155.map)
            java  4156   414.432221:        493            cache-references:      7f8745f7c609 int pim.algorithm.TreeNode.search(int)+0x209 (/tmp/perf-4155.map)
            java  4156   414.432228:        272                cache-misses:      7f8745f7c5e0 int pim.algorithm.TreeNode.search(int)+0x1e0 (/tmp/perf-4155.map)
            java  4156   414.432256:     141149                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432305:     141135                      cycles:      7f8745f7c843 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-4155.map)
            java  4156   414.432333:        478            cache-references:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432388:        474            cache-references:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432395:        267                cache-misses:      7f8745f7c5ea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4155.map)
            java  4156   414.432404:     140975                      cycles:      7f8745f7c9d4 int pim.algorithm.TreeNode.search(int)+0x5d4 (/tmp/perf-4155.map)
            java  4156   414.432441:        468            cache-references:      7f8745f7c5ee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-4155.map)
            java  4156   414.432452:     140770                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.432496:        465            cache-references:      7f8745f7c9d4 int pim.algorithm.TreeNode.search(int)+0x5d4 (/tmp/perf-4155.map)
            java  4156   414.432501:     140815                      cycles:      7f8745f7c9d4 int pim.algorithm.TreeNode.search(int)+0x5d4 (/tmp/perf-4155.map)
            java  4156   414.432548:        459            cache-references:      7f8745f7c86f int pim.algorithm.TreeNode.search(int)+0x46f (/tmp/perf-4155.map)
            java  4156   414.432550:     141001                      cycles:      7f8745f7c86f int pim.algorithm.TreeNode.search(int)+0x46f (/tmp/perf-4155.map)
            java  4156   414.432598:     140888                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
