 C2 CompilerThre 15972  3190.816354:       6719                                                              mem-stores:      7faf1246a28e IfNode::search_identical+0x3e (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 15942  3194.762687:        312                                                         LLC-load-misses:      7faefd37e7ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15941.map)
            java 15942  3194.762740:        313                                                         LLC-load-misses:      7faefd37e752 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15941.map)
            java 15942  3194.762796:        312                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.762850:        310                                                         LLC-load-misses:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
            java 15942  3194.762898:        309                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.762979:        310                                                         LLC-load-misses:      7faefd37e7ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15941.map)
            java 15942  3194.763031:        297                                                         LLC-load-misses:      7faefd37e78e int pim.algorithm.TreeNode.search(int)+0xce (/tmp/perf-15941.map)
            java 15942  3194.763082:        297                                                         LLC-load-misses:      7faefd37e7ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15941.map)
            java 15942  3194.763135:        297                                                         LLC-load-misses:      7faefd37e7c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15941.map)
            java 15942  3194.763183:        297                                                         LLC-load-misses:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.763234:        299                                                         LLC-load-misses:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
            java 15942  3194.763285:        299                                                         LLC-load-misses:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.763335:        299                                                         LLC-load-misses:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.763384:        300                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.763431:        302                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.763480:        305                                                         LLC-load-misses:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
            java 15942  3194.763534:        306                                                         LLC-load-misses:      7faefd37e7c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15941.map)
            java 15942  3194.763585:        305                                                         LLC-load-misses:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.763635:        305                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.763685:        306                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.763737:        307                                                         LLC-load-misses:      7faefd37e729 int pim.algorithm.TreeNode.search(int)+0x69 (/tmp/perf-15941.map)
            java 15942  3194.763788:        307                                                         LLC-load-misses:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.763837:        307                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.763887:        309                                                         LLC-load-misses:      7faefd37e733 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-15941.map)
            java 15942  3194.763940:        310                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.763992:        310                                                         LLC-load-misses:      7faefd37e76d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15941.map)
            java 15942  3194.764047:        310                                                         LLC-load-misses:      7faefd37e752 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15941.map)
            java 15942  3194.764103:        308                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.764153:        305                                                         LLC-load-misses:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.764205:        306                                                         LLC-load-misses:      7faefd37e76d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15941.map)
            java 15942  3194.764257:        306                                                         LLC-load-misses:      7faefd37e70a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-15941.map)
            java 15942  3194.764306:        306                                                         LLC-load-misses:      7faefd37e752 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15941.map)
            java 15942  3194.764360:        307                                                         LLC-load-misses:      7faefd37e76d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15941.map)
            java 15942  3194.764411:        306                                                         LLC-load-misses:      7faefd37e769 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-15941.map)
            java 15942  3194.764460:        306                                                         LLC-load-misses:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
            java 15942  3194.764512:        308                                                         LLC-load-misses:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.764566:        308                                                         LLC-load-misses:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.764617:        307                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.764651:        589                                                               LLC-loads:      7faefd37e752 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15941.map)
            java 15942  3194.764664:       3125                                                              mem-stores:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.764682:        307                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.764703:        589                                                               LLC-loads:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.764705:       3125                                                              mem-stores:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.764737:        300                                                         LLC-load-misses:      7faefd37e7c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15941.map)
            java 15942  3194.764742:       3215                                                              mem-stores:      7faefd37e6e7 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-15941.map)
            java 15942  3194.764756:        587                                                               LLC-loads:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.764781:       3366                                                              mem-stores:      7faefd37e717 int pim.algorithm.TreeNode.search(int)+0x57 (/tmp/perf-15941.map)
            java 15942  3194.764793:        298                                                         LLC-load-misses:      7faefd37e7c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15941.map)
            java 15942  3194.764807:        585                                                               LLC-loads:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.764847:        296                                                         LLC-load-misses:      7faefd37e76d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-15941.map)
