# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 112K of event 'cache-references'
# Event count (approx.): 59619590
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................
#
     0.16%  G1 Refine#6      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.16%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.16%  G1 Refine#3      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.15%  GC Thread#8      libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.15%  GC Thread#9      libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.15%  G1 Refine#13     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.14%  G1 Refine#5      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.14%  G1 Refine#11     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.14%  G1 Refine#9      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.13%  G1 Refine#3      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.13%  G1 Refine#7      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.13%  G1 Refine#16     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.13%  G1 Refine#12     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.12%  G1 Refine#0      libjvm.so            [.] oopDesc::size_given_klass
     0.12%  G1 Refine#14     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.12%  G1 Refine#4      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.12%  G1 Refine#7      libjvm.so            [.] OtherRegionsTable::add_reference
     0.11%  G1 Refine#1      libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.11%  VM Thread        [kernel.kallsyms]    [k] perf_iterate_ctx
     0.11%  G1 Refine#8      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.11%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.10%  G1 Refine#6      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.10%  GC Thread#1      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.10%  G1 Refine#10     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.09%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.09%  G1 Refine#0      libjvm.so            [.] G1HotCardCache::insert
     0.09%  GC Thread#4      libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.09%  G1 Refine#5      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.08%  C2 CompilerThre  [kernel.kallsyms]    [k] perf_iterate_ctx
     0.08%  G1 Refine#15     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.08%  java             perf-5443.map        [.] java.util.HashMap$Node java.util.HashMap.getNode(java.lang.Object)
     0.07%  GC Thread#13     libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.07%  G1 Refine#21     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.07%  GC Thread#19     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.07%  GC Thread#15     libjvm.so            [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.07%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.07%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  GC Thread#18     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  G1 Refine#1      libjvm.so            [.] G1HotCardCache::insert
     0.06%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  GC Thread#19     [kernel.kallsyms]    [k] copy_page
     0.06%  GC Thread#8      libjvm.so            [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.06%  java             libjvm.so            [.] InstanceKlass::find_method_index
     0.06%  G1 Refine#2      libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.06%  G1 Refine#22     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.06%  GC Thread#10     libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.06%  G1 Refine#17     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.05%  G1 Refine#2      libjvm.so            [.] G1HotCardCache::insert
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::post_allocate_copy_removal
     0.05%  G1 Refine#19     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.05%  java             perf-5443.map        [.] java.lang.Object java.util.HashMap.put(java.lang.Object, java.lang.Object)
     0.05%  G1 Refine#18     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.05%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.05%  G1 Refine#3      libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.05%  G1 Refine#20     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.05%  GC Thread#8      libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.05%  java             perf-5443.map        [.] int java.lang.Integer.hashCode()
     0.05%  java             [kernel.kallsyms]    [k] _raw_spin_lock
     0.04%  java             perf-5443.map        [.] pim.algorithm.BSTBuilder$Pair pim.algorithm.IntIntValuePairGenerator.genPair()
     0.04%  GC Thread#6      libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.04%  GC Thread#21     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.04%  C2 CompilerThre  libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.04%  java             [kernel.kallsyms]    [k] get_page_from_freelist
     0.04%  G1 Refine#15     libjvm.so            [.] OtherRegionsTable::add_reference
     0.04%  G1 Refine#1      libjvm.so            [.] G1RemSet::clean_card_before_refine
     0.04%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.04%  G1 Refine#0      libjvm.so            [.] G1CardCounts::add_card_count
     0.04%  G1 Refine#2      libjvm.so            [.] G1RemSet::clean_card_before_refine
     0.04%  java             perf-5443.map        [.] int pim.algorithm.BSTTester.evaluateCPU(int, int)
     0.04%  G1 Refine#7      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.04%  G1 Refine#4      libjvm.so            [.] G1HotCardCache::insert
     0.04%  GC Thread#22     libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.04%  java             [kernel.kallsyms]    [k] clear_page_erms
     0.04%  G1 Refine#5      libjvm.so            [.] G1HotCardCache::insert
     0.04%  G1 Refine#5      libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.04%  GC Thread#12     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.04%  GC Thread#1      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.04%  G1 Refine#14     libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.03%  GC Thread#14     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  G1 Refine#21     libjvm.so            [.] OtherRegionsTable::add_reference
     0.03%  GC Thread#12     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  java             perf-5443.map        [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.03%  G1 Refine#20     libjvm.so            [.] OtherRegionsTable::add_reference
     0.03%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.03%  G1 Refine#4      libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.03%  G1 Refine#18     libjvm.so            [.] OtherRegionsTable::add_reference
     0.03%  java             [kernel.kallsyms]    [k] hrtimer_interrupt
     0.03%  GC Thread#16     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  GC Thread#0      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  GC Thread#18     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  C1 CompilerThre  [kernel.kallsyms]    [k] perf_iterate_ctx
     0.03%  GC Thread#7      libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.03%  GC Thread#11     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  GC Thread#13     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  GC Thread#0      [kernel.kallsyms]    [k] clear_page_erms
     0.03%  GC Thread#2      [kernel.kallsyms]    [k] clear_page_erms
     0.03%  G1 Refine#8      libjvm.so            [.] OtherRegionsTable::add_reference
     0.03%  java             [kernel.kallsyms]    [k] timekeeping_advance
     0.03%  G1 Refine#12     libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.03%  java             [kernel.kallsyms]    [k] task_tick_fair
     0.03%  GC Thread#7      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  GC Thread#14     libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.03%  java             [kernel.kallsyms]    [k] tick_sched_do_timer
     0.03%  G1 Refine#14     libjvm.so            [.] OtherRegionsTable::add_reference
     0.03%  G1 Refine#15     libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.03%  G1 Refine#17     libjvm.so            [.] OtherRegionsTable::add_reference
     0.03%  GC Thread#21     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  GC Thread#13     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  GC Thread#11     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  GC Thread#1      [kernel.kallsyms]    [k] clear_page_erms
     0.03%  G1 Refine#21     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.03%  GC Thread#16     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  java             [kernel.kallsyms]    [k] update_curr
     0.03%  GC Thread#2      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  G1 Refine#21     libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.03%  G1 Refine#6      libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.03%  GC Thread#5      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  GC Thread#20     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  GC Thread#17     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  G1 Refine#1      libjvm.so            [.] G1CardCounts::add_card_count
     0.03%  GC Thread#3      [kernel.kallsyms]    [k] clear_page_erms
     0.03%  GC Thread#22     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  G1 Refine#0      libjvm.so            [.] G1DirtyCardQueueSet::refine_buffer
     0.03%  G1 Refine#10     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.03%  java             [kernel.kallsyms]    [k] ktime_get_update_offsets_now
     0.03%  GC Thread#14     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  GC Thread#19     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.03%  G1 Refine#3      libjvm.so            [.] G1HotCardCache::insert
     0.03%  GC Thread#19     [kernel.kallsyms]    [k] clear_page_erms
     0.03%  GC Thread#5      [kernel.kallsyms]    [k] clear_page_erms
     0.03%  G1 Refine#19     libjvm.so            [.] OtherRegionsTable::add_reference
     0.03%  GC Thread#21     [kernel.kallsyms]    [k] clear_page_erms
     0.02%  G1 Refine#8      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.02%  GC Thread#4      [kernel.kallsyms]    [k] clear_page_erms
     0.02%  G1 Refine#12     libjvm.so            [.] OtherRegionsTable::add_reference
     0.02%  java             [kernel.kallsyms]    [k] account_user_time
     0.02%  G1 Refine#20     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
