            java 19552 37771.017606:       1160                                                         LLC-load-misses:      7f2da938fd98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-19551.map)
            java 19552 37771.017787:       1223                                                               LLC-loads:      7f2da938fddb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-19551.map)
            java 19552 37771.017884:       1156                                                         LLC-load-misses:      7f2da938fe33 int pim.algorithm.TreeNode.search(int)+0xf3 (/tmp/perf-19551.map)
            java 19552 37771.018037:       1222                                                               LLC-loads:      7f2da938fd98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-19551.map)
            java 19552 37771.018131:       1143                                                         LLC-load-misses:      7f2da938fdb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-19551.map)
            java 19552 37771.018271:       1222                                                               LLC-loads:      7f2da938fdb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-19551.map)
            java 19552 37771.018365:       1145                                                         LLC-load-misses:      7f2da938fe01 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-19551.map)
            java 19552 37771.018494:       1233                                                               LLC-loads:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
            java 19552 37771.018591:       1155                                                         LLC-load-misses:      7f2da938fd8a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-19551.map)
            java 19552 37771.018724:       1252                                                               LLC-loads:      7f2da938fd98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-19551.map)
            java 19552 37771.018834:       1171                                                         LLC-load-misses:      7f2da938fe01 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-19551.map)
            java 19552 37771.018971:       1266                                                               LLC-loads:      7f2da938fe17 int pim.algorithm.TreeNode.search(int)+0xd7 (/tmp/perf-19551.map)
            java 19552 37771.019224:       1270                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.019471:       1269                                                               LLC-loads:      7f2da938fe01 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-19551.map)
