            java  9424 34853.441136:     100003                                 offcore_requests.l3_miss_demand_data_rd:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.447002:     100003                          offcore_response.all_data_rd.l3_miss.any_snoop:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.463535:       2861                                                         LLC-load-misses:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.464132:       2861                                                         LLC-load-misses:      7f32e938efb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-9423.map)
            java  9424 34853.464703:       2654                                                         LLC-load-misses:      7f32e938efc4 int pim.algorithm.TreeNode.search(int)+0x84 (/tmp/perf-9423.map)
            java  9424 34853.465256:       2469                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.465761:       2301                                                         LLC-load-misses:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.466254:       2157                                                         LLC-load-misses:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.466685:       2025                                                         LLC-load-misses:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.467096:       1920                                                         LLC-load-misses:      7f32e938efc4 int pim.algorithm.TreeNode.search(int)+0x84 (/tmp/perf-9423.map)
            java  9424 34853.467229:       2869                                                               LLC-loads:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.467498:       1752                                                         LLC-load-misses:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.467686:       2869                                                               LLC-loads:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.467839:       1670                                                         LLC-load-misses:      7f32e938f017 int pim.algorithm.TreeNode.search(int)+0xd7 (/tmp/perf-9423.map)
            java  9424 34853.468140:       2708                                                               LLC-loads:      7f32e938ef8e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-9423.map)
            java  9424 34853.468183:       1615                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.468507:       1561                                                         LLC-load-misses:      7f32e938efb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-9423.map)
            java  9424 34853.468552:       2557                                                               LLC-loads:      7f32e938efdb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-9423.map)
            java  9424 34853.468810:       1518                                                         LLC-load-misses:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.468961:       2433                                                               LLC-loads:      7f32e938f001 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-9423.map)
            java  9424 34853.469118:       1486                                                         LLC-load-misses:      7f32e938efdb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-9423.map)
            java  9424 34853.469355:       2316                                                               LLC-loads:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.469737:       2212                                                               LLC-loads:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.469739:       1419                                                         LLC-load-misses:      7f32e938ef8a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-9423.map)
            java  9424 34853.470029:       1384                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.470096:       2118                                                               LLC-loads:      7f32e938efc4 int pim.algorithm.TreeNode.search(int)+0x84 (/tmp/perf-9423.map)
            java  9424 34853.470321:       1362                                                         LLC-load-misses:      7f32e938efb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-9423.map)
            java  9424 34853.470457:       2038                                                               LLC-loads:      7f32e938f017 int pim.algorithm.TreeNode.search(int)+0xd7 (/tmp/perf-9423.map)
            java  9424 34853.470625:       1339                                                         LLC-load-misses:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.470793:       1961                                                               LLC-loads:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.470896:       1311                                                         LLC-load-misses:      7f32e938f001 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-9423.map)
            java  9424 34853.471129:       1899                                                               LLC-loads:      7f32e938ef8e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-9423.map)
            java  9424 34853.471431:       1804                                                               LLC-loads:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.471725:       1767                                                               LLC-loads:      7f32e938ef9b int pim.algorithm.TreeNode.search(int)+0x5b (/tmp/perf-9423.map)
            java  9424 34853.472012:       1735                                                               LLC-loads:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
