# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 208K of event 'LLC-load-misses'
# Event count (approx.): 189633138
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
    14.01%  java             [kernel.kallsyms]    [k] copy_user_enhanced_fast_string
     8.88%  C2 CompilerThre  libjvm.so            [.] IndexSetIterator::advance_and_next
     7.02%  java             libc-2.28.so         [.] __memcpy_avx_unaligned_erms
     3.89%  DPU_MRAM_0101    libdpuhw.so.2023.1   [.] threads_write_to_rank
     3.89%  DPU_MRAM_0102    libdpuhw.so.2023.1   [.] threads_write_to_rank
     3.89%  DPU_MRAM_0100    libdpuhw.so.2023.1   [.] threads_write_to_rank
     3.44%  java             libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     2.22%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Split
     2.21%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     2.09%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::remove_node
     1.95%  DPU_MRAM_0103    libdpuhw.so.2023.1   [.] threads_write_to_rank
     1.90%  C2 CompilerThre  libjvm.so            [.] PhaseLive::compute
     1.44%  DPU_WORK_0400    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     1.32%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::effective_degree
     1.29%  DPU_WORK_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     1.17%  DPU_WORK_0300    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     1.11%  java             libjvm.so            [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501190ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501190ul>::oop_access_barrier<HeapWordImpl*>
     1.10%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::interfere_with_live
     1.07%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::re_insert
     1.06%  java             perf-14257.map       [.] java.util.ArrayList application.bst.BSTTester.readIntergerArrayList(java.lang.String)
     1.04%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::SquareUp
     0.94%  DPU_WORK_0200    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.85%  DPU_WORK_0100    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.85%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::build_ifg_physical
     0.83%  java             [kernel.kallsyms]    [k] copy_page
     0.74%  java             perf-14257.map       [.] StubRoutines (2)
     0.74%  java             [kernel.kallsyms]    [k] get_page_from_freelist
     0.67%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::post_allocate_copy_removal
     0.65%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::add_input_to_liveout
     0.63%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::cache_lrg_info
     0.58%  C1 CompilerThre  libjvm.so            [.] BitMap::set_intersection_with_result
     0.55%  C2 CompilerThre  libjvm.so            [.] IndexSet::IndexSet
     0.55%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Select
     0.46%  java             [kernel.kallsyms]    [k] __free_pages_ok
     0.45%  C2 CompilerThre  libjvm.so            [.] IndexSet::alloc_block_containing
     0.39%  C2 CompilerThre  libjvm.so            [.] IndexSet::initialize
     0.38%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::merge_multidefs
     0.35%  C2 CompilerThre  libjvm.so            [.] PhaseLive::add_liveout
     0.34%  C2 CompilerThre  libjvm.so            [.] Compile::identify_useful_nodes
     0.32%  java             perf-14257.map       [.] Interpreter
     0.31%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::update_ifg
     0.31%  C2 CompilerThre  libjvm.so            [.] RegMask::clear_to_sets
     0.29%  DPU_MRAM_0102    [kernel.kallsyms]    [k] __free_pages_ok
     0.26%  C1 CompilerThre  libjvm.so            [.] NullCheckEliminator::iterate_one
     0.26%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Register_Allocate
     0.25%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_late
     0.24%  C1 CompilerThre  libjvm.so            [.] ValueStack::values_do
     0.22%  C1 CompilerThre  libjvm.so            [.] BitMap::is_same
     0.21%  java             [kernel.kallsyms]    [k] find_get_entry
     0.21%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_early
     0.20%  C2 CompilerThre  libjvm.so            [.] Node::replace_by
     0.20%  C1 CompilerThre  libjvm.so            [.] LinearScan::build_intervals
     0.20%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::visit
     0.19%  C1 CompilerThre  libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.19%  C1 CompilerThre  libjvm.so            [.] LinearScan::eliminate_spill_moves
     0.18%  C1 CompilerThre  libjvm.so            [.] BitMap::set_union
     0.18%  GC Thread#21     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.18%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Simplify
     0.18%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.18%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::BuildOopMaps
     0.17%  GC Thread#13     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.17%  java             libjvm.so            [.] acl_CopyRight
     0.16%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.16%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.16%  C2 CompilerThre  libjvm.so            [.] JVMState::debug_start
     0.15%  C2 CompilerThre  ld-2.28.so           [.] __tls_get_addr
     0.15%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.15%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_local
     0.15%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.14%  GC Thread#1      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.14%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::Dominators
