# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'LLC-load-misses'
# Event count (approx.): 3823068077
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                                 
# ........  ...............  ...................  .......................................................................................................................................................................................................
#
     0.01%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_local
     0.01%  DPU_POLL_0000    [kernel.kallsyms]    [k] _vm_normal_page
     0.01%  C2 CompilerThre  libjvm.so            [.] MachNode::rematerialize
     0.01%  GC Thread#0      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C2 CompilerThre  libjvm.so            [.] Compile::remove_useless_nodes
     0.01%  java             perf-14591.map       [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_collect_mappings
     0.01%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  GC Thread#13     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  GC Thread#10     libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseAggressiveCoalesce::insert_copies
     0.01%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  C1 CompilerThre  libjvm.so            [.] BitMap::set_difference
     0.01%  java             [kernel.kallsyms]    [k] __free_pages_ok
     0.01%  C2 CompilerThre  ld-2.28.so           [.] _dl_update_slotinfo
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::split_if_with_blocks
     0.01%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  java             perf-14591.map       [.] boolean java.lang.StringCoding.hasNegatives(byte[], int, int)
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScan::compute_local_live_sets
     0.00%  java             perf-14591.map       [.] int application.bst.TreeNode.search(int)
     0.00%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::bias_color
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::append
     0.00%  C2 CompilerThre  libjvm.so            [.] RegMask::Size
     0.00%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#22     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::fixup_spills
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::assign_reg_num
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::bottom_type
     0.00%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#21     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::elide_copy
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_exception_handlers
     0.00%  DPU_POLL_0000    [kernel.kallsyms]    [k] apic_timer_interrupt
     0.00%  C2 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_lock
     0.00%  C2 CompilerThre  libjvm.so            [.] NodeHash::hash_find_insert
     0.00%  GC Thread#10     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_pinned_nodes
     0.00%  GC Thread#4      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::subsume_node
