# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'LLC-load-misses'
# Event count (approx.): 4082090216
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
     0.02%  C2 CompilerThre  libjvm.so            [.] Compile::identify_useful_nodes
     0.02%  DPU_WORK_0100    [kernel.kallsyms]    [k] update_load_avg
     0.02%  java             [kernel.kallsyms]    [k] futex_wake
     0.02%  DPU_WORK_0300    libdpu.so.0.0        [.] get_transfer_matrix_index
     0.02%  DPU_POLL_0000    [kernel.kallsyms]    [k] change_protection
     0.02%  java             libdpu.so.0.0        [.] get_transfer_matrix_index
     0.02%  DPU_WORK_0300    [kernel.kallsyms]    [k] select_task_rq_fair
     0.02%  DPU_WORK_0000    libpthread-2.28.so   [.] __pthread_mutex_lock
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::update_ifg
     0.02%  DPU_WORK_0400    libdpu.so.0.0        [.] get_transfer_matrix_index
     0.02%  C2 CompilerThre  libjvm.so            [.] RegMask::clear_to_sets
     0.02%  java             perf-3680.map        [.] Interpreter
     0.02%  GC Thread#17     [kernel.kallsyms]    [k] __free_pages_ok
     0.01%  DPU_WORK_0400    [kernel.kallsyms]    [k] select_task_rq_fair
     0.01%  java             libdpu.so.0.0        [.] dpu_thread_job_pop_unlocked
     0.01%  DPU_WORK_0200    libpthread-2.28.so   [.] __pthread_mutex_lock
     0.01%  java             libc-2.28.so         [.] _int_free
     0.01%  DPU_WORK_0100    [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.01%  DPU_WORK_0100    [kernel.kallsyms]    [k] try_to_wake_up
     0.01%  C1 CompilerThre  libjvm.so            [.] ValueStack::values_do
     0.01%  GC Thread#0      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Register_Allocate
     0.01%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::visit
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_late
     0.01%  java             [kernel.kallsyms]    [k] __list_del_entry_valid
     0.01%  DPU_WORK_0300    libpthread-2.28.so   [.] __pthread_mutex_lock
     0.01%  DPU_WORK_0100    [kernel.kallsyms]    [k] available_idle_cpu
     0.01%  java             [kernel.kallsyms]    [k] do_syscall_64
     0.01%  DPU_WORK_0400    libpthread-2.28.so   [.] __pthread_mutex_lock
     0.01%  DPU_WORK_0000    [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.01%  DPU_WORK_0000    [kernel.kallsyms]    [k] try_to_wake_up
     0.01%  C1 CompilerThre  libjvm.so            [.] BitMap::is_same
     0.01%  C2 CompilerThre  libjvm.so            [.] Node::replace_by
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScan::build_intervals
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_early
     0.01%  DPU_WORK_0000    [kernel.kallsyms]    [k] available_idle_cpu
     0.01%  C1 CompilerThre  libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.01%  DPU_WORK_0200    [kernel.kallsyms]    [k] update_cfs_rq_h_load
